word	layer	clips	chezky_readings	agreement	heard_readings (reading:count)
גאר	G	411	ɡ u r	37%	ɡ u r:154; ɡ a r:146; ɡ i r:75; ɡ ɔ r:26; ɡ aː r:10
דיין	G	409	d aː n | d aj n	75%	d aj n:300; d a n:50; d u n:49; d aː n:6; d ej n:4
זעלבע	G	409	z ɛ l b ə	96%	z ɛ l b ə:392; z ɛ l b ɛ:6; z ə l b ə:6; z ə l b ɛ:5
של	L	405	ʃ ɛ l	95%	ʃ ɛ l:385; ʃ ə l:20
מיטן	G	402	m i t n	100%	m i t n:400; m u t n:2
כל	L	400	k ɔ l | k u l	85%	k ɔ l:332; k a l:38; k i l:22; k u l:8
סוף	L	399	s ɔ f | s ɔj f	87%	s ɔ f:300; s ɔj f:48; s u f:24; s a f:20; s u p:3; s a p:2; s ɔj p:1; s aː p:1
איינס	G	386	aj n s	97%	aj n s:376; ej n s:6; aː n s:4
בעל	L	384	b aː l | b ɛ l	86%	b ɛ l:329; b a l:23; b aj l:12; b ə l:11; b u l:6; b ɔ l:3
אפ	G	379	ɔ p	40%	ɔ p:151; a f:77; u p:54; a p:42; u f:32; ɔ f:21; aː p:1; aː f:1
צייט	G	372	ʦ aː t | ʦ aj t	97%	ʦ aj t:359; ʦ u t:7; ʦ a t:5; ʦ ɔ t:1
מיך	G	364	m i x	97%	m i x:354; m u x:10
האלטן	G	364	h a l t n	94%	h a l t n:341; h ɔ l t n:10; h u l t n:10; h aː l t n:3
זייט	G	358	z aː t | z aj t	91%	z aj t:323; z u t:15; z a t:10; z ɔ t:4; z aː t:3; z ej t:3
יעדן	G	357	j ej d n | j ɛ d n	97%	j ɛ d n:345; j ə d n:7; j aj d n:4; j ej d n:1
בעטן	G	354	b ej t n | b ɛ t n	91%	b ɛ t n:319; b ə t n:18; b aj t n:11; b ej t n:4; b aː t n:2
ס'האט	G	352	s ə h u t | ʃ u t	50%	ʃ u t:176; ʃ ɔ t:90; ʃ i t:47; s ɛ h ɔ t:21; ʃ a t:9; s ɛ h u t:5; s ə h a t:2; s ɛ h i t:2
בן	L	343	b ɛ n	97%	b ɛ n:334; b ə n:9
ספרים	L	343	s f u r i m	70%	s f u r i m:241; s f a r i m:41; s f i r i m:29; s f i r u m:8; s f a r u m:5; s f ɔ r i m:5; s f u r u m:5; s p i r i m:2
זיכער	G	339	z i x ə r	80%	z i x ə r:270; z i x ɛ r:36; z u x ə r:17; z u x ɛ r:16
צווישן	G	337	ʦ v i ʃ n	99%	ʦ v i ʃ n:332; ʦ v u ʃ n:5
ביידע	G	336	b aj d ə	96%	b aj d ə:324; b aj d ɛ:11; b aː d ə:1
האסטו	G	335	h u s t i | h ɔ s t i	67%	h ɔ s t i:177; h u s t i:49; h i s t i:38; h i s t u:23; h a s t i:18; h ɔ s t u:15; h u s t u:10; h a s t u:5
לאנג	G	332	l aː n ɡ | l a n ɡ	90%	l a n ɡ:298; l aj n ɡ:18; l u n ɡ:6; l ɔ n ɡ:5; l a n k:2; l u n k:1; l aː n ɡ:1; l ɔ n k:1
טוב	L	328	t ɔj v | t ɔ v	77%	t ɔj v:138; t ɔ v:116; t u v:31; t ɔ f:19; t a v:9; t a f:8; t u f:3; t ɔj f:3
לעצטע	G	326	l ɛ ʦ t ə	99%	l ɛ ʦ t ə:324; l ɛ ʦ t ɛ:1; l ə ʦ t ə:1
פארגעסן	G	326	f aː r ɡ ɛ s n	82%	f aː r ɡ ɛ s n:268; f a r ɡ ə s n:18; f a r ɡ ɛ s n:13; f u r ɡ ə s n:6; f u r ɡ ɛ s n:5; f aj r ɡ ə s n:4; f ɔ r ɡ ə s n:4; f aj r ɡ ɛ s n:3
חלק	L	324	x aj l ə k	97%	x aj l ə k:313; x aj l ɛ k:11
וועלכע	G	323	v ɛ l x ə	88%	v ɛ l x ə:283; v ɛ l x ɛ:39; v ə l x ə:1
נאכט	G	320	n a x t	91%	n a x t:290; n u x t:23; n ɔ x t:7
אהיים	G	311	a h aj m	96%	a h aj m:300; u h aj m:6; a h ej m:2; u h ej m:1; a h aː m:1; ɔ h ej m:1
שעה	L	300	ʃ u | ʃ ɔ	86%	ʃ u:256; ʃ i:32; ʃ a:11; ʃ ɔ:1
הערן	G	297	h i r n | h ɛ r n	94%	h ɛ r n:266; h i r n:14; h ə r n:11; h u r n:6
נפש	L	294	n ej f i ʃ | n ɛ f ə ʃ	92%	n ɛ f ə ʃ:194; n ej f i ʃ:76; n aj f i ʃ:11; n ɛ f ɛ ʃ:7; n ɛ p ə ʃ:3; n ə f ə ʃ:1; n aj f u ʃ:1; n aj p u ʃ:1
מלחמה	L	293	m i l x u m ə | m i l x ɔ m ə	96%	m i l x u m ə:264; m i l x ɔ m ə:18; m i l x i m ə:4; m i l x i m ɛ:3; m u l x u m ə:2; m u l x i m ɛ:1; m u l x ɔ m ə:1
מעג	G	291	m ej ɡ | m ɛ ɡ	92%	m ɛ ɡ:269; m aj ɡ:7; m ɛ k:6; m ə ɡ:5; m aj k:3; m ə k:1
אונזער	G	286	i n z ə r | i n d z ə r	79%	i n z ə r:225; i n z ɛ r:31; u n z ɛ r:16; u n z ə r:13; i n d z ə r:1
קיינער	G	286	k aj n ə r	95%	k aj n ə r:271; k aj n ɛ r:14; k aː n ɛ r:1
פארוואס	G	284	f a r v u s	81%	f a r v u s:229; f a r v i s:27; f a r v a s:7; f u r v u s:5; f u r v i s:4; f a r v aː s:3; p u r v u s:2; p a r v i s:2
העלפן	G	283	h ɛ l f n	96%	h ɛ l f n:273; h ə l f n:5; h ɛ l p n:5
הויז	G	277	h oʊ z | h ɔj z	76%	h oʊ z:187; h ɔj s:42; h oʊ s:25; h ɔj z:23
יעדע	G	275	j ɛ d ə	99%	j ɛ d ə:273; j ə d ɛ:1; j ɛ d ɛ:1
מסביר	L	272	m a z b i r	89%	m a z b i r:243; m u z b i r:21; m a z b u r:5; m ɔ z b i r:3
ארבעט	G	268	a r b ə t	96%	a r b ə t:257; a r b ɛ t:4; u r b ɛ t:3; ɔ r b ə t:2; ɔ r b ɛ t:1; u r b ə t:1
גרייט	G	265	ɡ r aj t	99%	ɡ r aj t:263; ɡ r ej t:2
אלס	G	260	a l i s | a l s	93%	a l s:239; u l s:10; ɔ l s:5; a l i s:2; aː l i s:1; ɔ l u s:1; u l i s:1; aː l s:1
כח	L	253	k ɔj ə x	95%	k ɔj ə x:241; k ɔj ɛ x:9; k oʊ ə x:3
צווייטע	G	251	ʦ v aj t ə	97%	ʦ v aj t ə:244; ʦ v aj t ɛ:4; ʦ v aː t ə:2; ʦ v ej t ə:1
גייען	G	247	ɡ aj ə n	88%	ɡ aj ə n:218; ɡ aj ɛ n:18; ɡ ej ə n:9; ɡ ej ɛ n:2
וויאזוי	G	231	v i z ɔj | v i a z ɔj	92%	v i z ɔj:140; v i a z ɔj:73; v u z ɔj:15; v i ɔ z ɔj:2; v u ɔ z ɔj:1
מאיר	N	228	m aj ə r	98%	m aj ə r:224; m aj ɛ r:4
לויט	G	227	l oʊ t | l ɔj t	100%	l ɔj t:183; l oʊ t:44
סדר	L	226	s aj d ə r | s ej d ə r	95%	s aj d ə r:162; s ej d ə r:52; s aj d ɛ r:10; s aː d ɛ r:2
פראבלעם	E	225	p r ɔ b l ej m | p r ɔ b l ɛ m	98%	p r ɔ b l ɛ m:221; p r ɔ b l ə m:1; f r u b l ə m:1; p r u b l aj m:1; f r a b l ə m:1
ארום	G	218	a r i m | a r u m	94%	a r i m:182; a r u m:22; ɔ r i m:4; u r u m:3; u r i m:3; ɔ r u m:2; a r a m:1; ɔ r a m:1
מינוט	G	213	m i n i t | m i n u t	99%	m i n i t:210; m u n u t:1; m i n u t:1; m i n ɔ t:1
מ'קען	G	207	m ɛ k ə n | m k ɛ n	27%	m ɛ k ɛ n:143; m k ɛ n:51; m k ə n:8; m ɛ k ə n:4; m ə k ɛ n:1
לייגן	G	195	l aj ɡ n	99%	l aj ɡ n:193; l ej ɡ n:2
שטארקע	G	185	ʃ t a r k ə	91%	ʃ t a r k ə:169; ʃ t u r k ə:6; ʃ t u r k ɛ:4; ʃ t ɔ r k ə:4; ʃ t a r k ɛ:2
בעסער	G	185	b ɛ s ə r	97%	b ɛ s ə r:180; b ɛ s ɛ r:4; b ə s ə r:1
קעגן	G	180	k ej ɡ n | k ɛ ɡ n	99%	k ɛ ɡ n:175; k ej ɡ n:3; k aj ɡ n:1; k ə ɡ n:1
נישטא	G	177	n i ʃ t u | n i ʃ t ɔ	80%	n i ʃ t u:140; n i ʃ t a:24; n i ʃ t i:9; n i ʃ t aː:2; n u ʃ t u:1; n i ʃ t ɔ:1
כ'האב	G	174	x ɔ b | x h ɔ b	70%	x h ɔ b:69; x ɔ b:52; x u b:27; x a b:18; x h u b:3; x u p:2; x ɔ p:1; x h a b:1
שרייבן	G	173	ʃ r aː b n | ʃ r aj b n	92%	ʃ r aj b n:160; ʃ r u b n:7; ʃ r a b n:2; ʃ r ej b n:2; ʃ r ɔ b n:2
בכלל	L	165	b ə x l aː l | b i x l a l	98%	b i x l a l:161; b ɛ x l u l:1; b ə x l a l:1; b i x l u l:1; b ɛ x l aj l:1
עטליכע	G	163	ɛ t l ə x ə	26%	ɛ t l ɛ x ə:54; ɛ t l ə x ə:42; ɛ t l ɛ x ɛ:30; ə t l ə x ə:14; ə t l ɛ x ə:13; ɛ t l ə x ɛ:9; ə t l ɛ x ɛ:1
אנדערש	G	162	a n d i ʃ | a n d ə r ʃ	85%	a n d i ʃ:125; a n d ə r ʃ:12; a n d u ʃ:8; a n d ɛ r ʃ:5; u n d u ʃ:2; aː n d u ʃ:2; u n d i ʃ:2; aː n d ɛ r ʃ:2
לאזט	G	159	l ɔ z t | l u z t	79%	l ɔ z t:111; l a z t:17; l i z t:16; l u z t:15
בעסטע	G	157	b ɛ s t ə	96%	b ɛ s t ə:151; b ɛ s t ɛ:5; b ə s t ə:1
למעשה	L	153	l ə m aː s ə | l ə m aj s ə	90%	l ə m aj s ə:138; l ɛ m a s ə:4; l ɛ m a s ɛ:3; l ɛ m aj s ə:3; l ə m u s ə:2; l ɛ m aj s ɛ:2; l ɛ m ɔ s ɛ:1
גייסט	G	151	ɡ aj s t | ɡ aː s t	97%	ɡ aj s t:145; ɡ u s t:4; ɡ a s t:1; ɡ aː s t:1
אונטער	G	151	i n t ə r | u n t ə r	91%	i n t ə r:133; i n t ɛ r:9; u n t ə r:4; u n t ɛ r:2; a n t ə r:2; a n t ɛ r:1
נאכן	G	140	n u x n	94%	n u x n:132; n a x n:5; n ɔ x n:2; n i x n:1
דאן	G	134	d a n	51%	d a n:69; d u n:50; d aː n:11; d ɔ n:4
סיי	G	131	s aj	98%	s aj:128; s ej:2; s aː:1
גאס	G	130	ɡ aː s	85%	ɡ aː s:110; ɡ aj s:12; ɡ a s:4; ɡ u s:3; ɡ ɔ s:1
טרעפן	G	130	t r ɛ f n	98%	t r ɛ f n:128; t r ɛ p n:1; t r ə f n:1
נייע	G	129	n aː j ə | n aj ə	94%	n aj ə:121; n aj ɛ:7; n ej ə:1
קלאר	G	125	k l u r | k l ɔ r	83%	k l u r:101; k l a r:14; k l i r:7; k l ɔ r:3
יתרו	L	117	j i s r ɔj | j i s r ɔ	90%	j i s r ɔj:103; j i s r u:11; j i s r ɔ:2; j u s r ɔ:1
גענוג	G	112	ɡ ə n i ɡ | ɡ ə n u ɡ	87%	ɡ ə n i ɡ:90; ɡ ə n u ɡ:7; ɡ ə n a ɡ:6; ɡ ɛ n i ɡ:4; ɡ ə n u k:3; ɡ ɛ n u ɡ:1; ɡ ə n i k:1
רוח	L	109	r i ə x | r u ə x	86%	r i ə x:75; r u ə x:19; r u ɛ x:8; r i ɛ x:7
כדי	L	107	k ə d aj | k ə d ej	50%	k ə d aj:51; k ɛ d aj:45; k ɛ d ej:6; k ɛ d aː:2; k ə d ej:2; k ə d aː:1
שום	L	106	ʃ i m | ʃ u m	92%	ʃ i m:71; ʃ u m:26; ʃ a m:8; ʃ aː m:1
הלל	L	106	h a l ɛ l | h i l ɛ l	73%	h i l ɛ l:43; h a l ɛ l:34; h a l ə l:14; h i l ə l:14; h u l ɛ l:1
חוץ	L	103	x i ʦ | x u ʦ	96%	x i ʦ:80; x u ʦ:19; x ɔ ʦ:3; x a ʦ:1
טייערע	G	99	t aː j ə r ə | t aj ə r ə	95%	t aj ə r ə:94; t aj ə r ɛ:2; t aj j ə r ə:1; t aj ɛ r ə:1; t aj ɛ r ɛ:1
געוויסע	G	92	ɡ ə v i s ə	78%	ɡ ə v i s ə:72; ɡ ə v i s ɛ:8; ɡ ə v u s ɛ:3; ɡ ɛ v i s ə:2; ɡ ɛ v i s ɛ:2; ɡ ɛ v u s ɛ:2; ɡ ə v u s ə:2; ɡ ɛ v u s ə:1
שאלה	L	91	ʃ aː l ə | ʃ aj l ə	91%	ʃ aj l ə:83; ʃ a l ə:5; ʃ a l ɛ:1; ʃ aj l ɛ:1; ʃ u l ə:1
שיקן	G	90	ʃ i k n	96%	ʃ i k n:86; ʃ u k n:4
קאר	E	87	k a r	99%	k a r:86; k ɔ r:1
דאלער	E	84	d ɔ l ə r | d ɔ l a r	88%	d ɔ l ə r:74; d a l ə r:3; d u l ə r:3; d u l a r:2; d u l ɛ r:2
בערך	L	83	b ə ej r ə x | b ə ɛ r ə x	11%	b ɛ ɛ r ə x:55; b ə ɛ r ə x:9; b ɛ ɛ r ɛ x:6; b ɛ ə r ɛ x:4; b ɛ ə r ə x:3; b ə ɛ r ɛ x:2; b ə aj r ə x:1; b ɛ aj r ə x:1
ארץ	L	81	ɛ r ə ʦ	78%	ɛ r ə ʦ:63; ɛ r ɛ ʦ:15; ə r ɛ ʦ:2; ə r ə ʦ:1
יואל	N	81	j ɔj ə l	90%	j ɔj ə l:73; j ɔj ɛ l:8
אינמיטן	G	81	i n m i t n	96%	i n m i t n:78; i n m u t n:3
דאנק	G	81	d a n k	89%	d a n k:72; d u n k:9
כלל	L	72	k l a l	82%	k l a l:59; k l u l:9; k l ɔ l:4
למשל	L	72	l ə m u ʃ l	36%	l ə m u ʃ l:26; l ɛ m u ʃ l:23; l ɛ m i ʃ l:13; l ɛ m a ʃ l:3; l ə m i ʃ l:3; l ə m a ʃ l:2; l ɛ m ɔ ʃ l:1; l ə m ɔ ʃ l:1
אסאך	G	71	a s a x	62%	a s a x:44; a s u x:12; u s u x:6; u s a x:4; a s aː x:2; ɔ s u x:1; u s ɔ x:1; aː s a x:1
לכאורה	L	69	l i x ɔj r ə | l ə x ɔj r ə	90%	l ə x ɔj r ə:58; l i x ɔj r ə:4; l ɛ x ɔj r ə:2; l i x oʊ r ə:2; l u x ɔj r ə:1; l i x oʊ r ɛ:1; l i x ɔj r ɛ:1
לייג	G	69	l aj ɡ	93%	l aj ɡ:64; l ej ɡ:5
קאסט	G	67	k ɔ s t	82%	k ɔ s t:55; k a s t:7; k u s t:5
ווייט	G	66	v aː t | v aj t	92%	v aj t:61; v u t:3; v ɔ t:2
האף	G	66	h u f	47%	h u f:31; h ɔ f:19; h a f:7; h ɔ p:4; h i f:2; h a p:1; h i p:1; h u p:1
קודם	L	63	k ɔj d ə m	98%	k ɔj d ə m:62; k ɔj d ɛ m:1
אידישע	G	62	j i d i ʃ ə | j ɛ d i ʃ ə	94%	j i d i ʃ ə:55; j ɛ d i ʃ ə:3; j u d u ʃ ə:2; j i d i ʃ ɛ:1; j i d u ʃ ə:1
זעהט	G	61	z ej t | z ɛ t	21%	z aj t:46; z ɛ t:8; z ej t:5; z ə t:2
בלויז	G	58	b l ɔj z	52%	b l ɔj z:30; b l ɔj s:26; b l oʊ z:1; b l oʊ s:1
זעה	G	57	z ej | z ɛ	44%	z aj:29; z ej:19; z ɛ:6; z ə:2; z aː:1
אליינס	G	55	a l aj n s	93%	a l aj n s:51; u l aj n s:2; ɔ l aj n s:1; a l ej n s:1
אינעם	G	53	i n ə m	51%	i n ə m:27; i n ɛ m:25; u n ɛ m:1
נייעס	G	52	n aː j ə s | n aj ə s	90%	n aj ə s:47; n aj ɛ s:3; n ej ə s:1; n aː ɛ s:1
"שליט""א"	A	49	ʃ l i t ə	94%	ʃ l i t ə:46; ʃ l u t ɛ:2; ʃ l u t ə:1
טוישן	G	45	t oʊ ʃ n | t ɔj ʃ n	100%	t oʊ ʃ n:28; t ɔj ʃ n:17
געקאכט	G	42	ɡ ə k ɔ x t	98%	ɡ ə k ɔ x t:41; ɡ ɛ k ɔ x t:1
צאלן	G	39	ʦ u l n | ʦ ɔ l n	82%	ʦ u l n:31; ʦ i l n:6; ʦ ɔ l n:1; ʦ a l n:1
פלאן	E	39	p l aː n | p l a n	87%	p l a n:34; p l aj n:2; f l ej n:1; f l a n:1; f l aj n:1
סאיז	G	37	s i z | s a i z	73%	s i z:27; s u s:4; s i s:3; s u i s:1; s u i z:1; s u z:1
אפאר	G	34	a p u r | a p ɔ r	6%	a f a r:15; a p a r:6; a f i r:4; a f u r:2; a p u r:2; u p a r:1; u f a r:1; ɔ p u r:1
סארט	G	30	s ɔ r t	17%	s u r t:14; s a r t:8; s ɔ r t:5; s aː r t:3
יישר	L	29	j a ʃ ə r | j a ʃ i r	45%	j a ʃ ə r:10; j u ʃ ə r:6; j ɔ ʃ i r:3; j a ʃ i r:3; j u ʃ i r:2; j ɔ ʃ ə r:2; j u ʃ ɛ r:1; j a ʃ ɛ r:1
"זי""ע"	A	29	z x i s ɔj j u ɡ i n u l aj n i	3%	z x i s ɔj j a ɡ i n i l aj n i:6; z x i s ɔj j u ɡ i n i l aj n i:4; z x i s ɔj j u ɡ u n i l aj n i:3; z x i s ɔj j u ɡ i n i l aj n u:3; z x i s ɔj j u ɡ i n a l aj n i:2; z x i s ɔj j a ɡ i n u l aj n i:2; z x i s ɔj j u ɡ u n u l aj n u:2; z x i s ɔj j u ɡ i n a l aj n u:2
זעהן	G	28	z ej n	46%	z aj n:14; z ej n:13; z aː n:1
דערנאך	G	28	d ə r n u x | d ə r n ɔ x	32%	d ɛ r n u x:8; d ə r n u x:6; d ə r n i x:3; d ɛ r n a x:3; d ɛ r n i x:3; d ə r n ɔ x:3; d ɛ r n ɔ x:1; d ə r n a x:1
פרייז	G	25	p r aː z | p r aj z	100%	p r aj z:25
סיסטעם	E	24	s i s t ə m	100%	s i s t ə m:24
ניו	E	23	n j u	22%	n j i:16; n j u:5; n j ɔ:2
וויליאמסבורג	E	23	v i l j a m s b u r ɡ	87%	v i l j a m s b u r ɡ:20; v u l j a m s b u r ɡ:1; v u l j ɔ m s b i r ɡ:1; v i l j a m s b a r ɡ:1
היימישע	G	22	h aj m i ʃ ə	91%	h aj m i ʃ ə:20; h aj m i ʃ ɛ:2
פין	E	17	p i n	12%	f i n:15; p i n:2
מוסדות	L	16	m ɔj z d ə s | m ɔj s d ə s	100%	m ɔj s d ə s:11; m ɔj z d ə s:5
פאמיליע	E	10	f a m i l i ə	50%	f a m i l i ə:5; p a m i l i ə:1; f aː m i l i ə:1; f a m u l i ə:1; f a m i l i ɛ:1; f a m i l u ə:1
צוליב	G	9	ʦ i l i b | ʦ u l i b	89%	ʦ i l i b:7; ʦ a l i b:1; ʦ u l i b:1
טראמפ	E	9	t r ɔ m p | t r u m p	67%	t r u m p:4; t r ɔ m p:2; t r a m p:2; t r i m p:1
קאמפיין	E	9	k ɔ m p aj n | k a m p ej n	56%	k ɔ m p aj n:5; k a m p aj n:3; k a m f aj n:1
ביטע	G	6	b i t ə	83%	b i t ə:5; b i t ɛ:1
טוהן	G	6	t i ə n | t i n	67%	t i n:4; t i ɛ n:2
פראגעס	G	5	f r a ɡ ə s	60%	f r a ɡ ə s:3; f r a ɡ ɛ s:1; f r u ɡ ə s:1
אשכול	X	4	a ʃ k l	100%	a ʃ k l:4
אפשאצן	G	3	u p ʃ a ʦ n	0%	ɔ p ʃ a ʦ n:3
פראביר	G	2	p r ɔ b i r	50%	p r ɔ b i r:1; f r u b i r:1
גוגל	E	2	ɡ u ɡ l	100%	ɡ u ɡ l:2
פארומס	E	1	f ɔ r u m s	0%	f u r i m s:1
"יו""ט"	A	1	j ɔ n t ə f | j ɔ n t i f	0%	j u n t i f:1
