word	pointed	rule_ipa	observed_ipa	count
הכרת	הַכָּרַת	hxrs	hakorəs	7
השתדלות	הִשְׁתַּדְלוּת	hʃsdlis	iʃtadləs	7
חמץ	חָמֵץ	xmʦ	חמץ	7
ח׳	ח׳	xʔ	xes	7
לחם	לֶחֶם	lxəm	lexəm	7
מחר	מָחָר	mxr	moxor	7
מלקות	מַלְקוֹת	mlkis	malkəs	7
משפחות	מִשְׁפָּחוֹת	mʃfxis	משפחות	7
נקבות	נְקֵבוֹת	nkbis	nəkejvəs	7
קהת	קְהָת	xs	kehos	7
"רבי	"רבי	"rɛbə	רבי	7
בעש"ט	בעש"ט	bɛʃ"t	בעשט	7
נישט"	נישט"	niʃt"	nɪʃt	7
אלחנן	אֶלְחָנָן	alxnn	אלחנן	7
בחור'ל	בחור'ל	bxirl	בחורל	7
במחלוקת	בְּמַחֲלוֹקֶת	bmxliks	bəmaxlojkes	7
החודש	הַחֹדֶשׁ	hxidʃ	haxojdeʃ	7
חברון	חֶבְרוֹן	xbrin	xevren	7
ר"עקיבא	רַ"עֲקִיבָא	r"ɛkiba	rebakivə	7
שבתון	שַׁבָּתוֹן	ʃubɛsin	ʃabosn	7
תגנוב	תִגְנֹב	sɡnib	tisnev	7
תודה	תּוֹדָה	sidh	tojdə	7
תיבה	תֵּבָה	sibh	tejvə	7
בנות	בְּנוֹת	bnis	bnojs	7
בסוכות	בַּסֻכֹּת	bsixis	basikəjs	7
המות	הַמָּוֶת	hmis	hamovəs	7
המעלות	הַמַּעֲלוֹת	hmɛlis	hamaləs	7
זכותים	זְכוּתִים	zxisim	זכותים	7
חצות	חצות	xʦis	xatsojs	7
קליפות	קְלִיפּוֹת	klifis	klipəs	7
חטאות	חַטָאָת	xtais	חטאות	7
הגבה	הַגְבָּהָה	hɡbh	hagbɔhə	7
מזה	מִזֶּה	mʒ	mizə	7
מטה	מַטֵּה	mth	מטה	7
מפלה	מַפָּלָה	mflh	מפלה	7
משקה	מַשְׁקֶה	mʃx	maʃkə	7
שנה	שָׁנָה	ʃnh	ʃɔnɔ	7
גאות	גַאֲוָה	ɡais	גאות	7
סיבות	סִיבּוֹת	sibis	sɪbəs	7
עמוקות	עֲמוּקוֹת	ɛmikis	amukəs	7
אתם	אַתֶּם	asəm	atem	7
בחקותי	בְּחֻקֹּתַי	bxkisi	bəxukosaj	7
בית־דין	בית־דין	bis din	בעזדן	7
חברותא	חבֿרותּא	xbrisa	xavrusa	7
חוקת	חֻקַּת	xiks	xukəs	7
חיל	חַיִל	xil	xajəl	7
חשוב	חָשׁוּב	xʃib	xaʃəv	7
מלכותו	מַלְכוּתוֹ	mlxisi	malxəsaj	7
נוסח	נוּסַח	nisx	nisəx	7
נותן	נוֹתֵן	nisən	nojsen	7
שבחו	שִׁבְּחוּ	ʃbxi	ʃibəxu	7
שיבת	שִׁיבַת	ʃibs	ʃivəs	7
שכוח	שכוח	ʃxix	ʃkoəx	7
שמינית	שְׁמִינִית	ʃminis	ʃminəs	7
תשא	תִשָּׂא	sʃa	tisa	7
תשעה	תִּשְׁעָה	sʃɛh	תשעה	7
תשרי	תִּשְׁרֵי	sʃri	תשרי	7
דרושה	דְרָשָׁה	driʃh	droʃə	7
הרוצה	הָרוֹצֶה	hriʧ	harojtsə	7
מלאכה	מְלָאכָה	mlaxh	מלאכה	7
שלימה	שְׁלֵמָה	ʃlimh	ʃlejmə	7
שמונה	שְׁמוֹנָה	ʃminh	ʃmojnə	7
הדברים	הַדְּבָרִים	hdbrim	hadvɔrɪm	7
הרבים	הָרַבִּים	hrbim	harabim	7
זקנים	זְקֵנִים	zknim	זקנים	7
לשמים	לַשָׁמַיִם	lʃmim	ləʃɔmajəm	7
מלמדים	מלמדים	mlmdim	məlamdəm	7
נצבים	נִצָּבִים	nʦbim	nitzovim	7
אורח	אוֹרֵחַ	irx	ojrex	7
אחיך	אָחִיךָ	axix	oxixo	7
גג	גַג	ɡɡ	gag	7
ותורתו	וְתוֹרָתוֹ	isirsi	vetojroso	7
זבן	זִיבְן	zbən	zibn	7
ז׳	ז׳	zʔ	zajən	7
יציאת	יְצִיאַת	iʦias	jetsiəs	7
ישועתי	יְשׁוּעָתִי	iʃiɛsi	jiʃiɔsi	7
מכם	מִכֶּם	mxəm	mikem	7
מקץ	מִקֵּץ	mkʦ	mikajts	7
משדך	משדך	mʃdx	məʃadəx	7
משה'ן	מֹשֶׁה'ן	mʃhn	mojʃən	7
נמשל	נמשל	nmʃl	nɪmʃl	7
פה	פֶּה	fh	pej	7
שבכל	שֶׁבְּכָל	ʃbxl	ʃəbəxɔl	7
שטן	שָׂטָן	ʃtən	שטן	7
שלם	שָׁלֵם	ʃləm	שלם	7
שש	שֵׁשׁ	ʃʃ	ʃeʃ	7
תאוה	תַּאֲוָה	saih	תאוה	7
תנ"ך	תַּנַ"ךְ	sən"x	tanax	6
תשפ"ד	תשפ"ד	sʃf"d	taʃpad	6
חבר'ה	חֶבְרָה	xɛvrə	xevrə	6
חזקה	חֲזָקָה	xzx	חזקה	6
מחשבֿות	מַחֲשָׁבוֹת	mxʃvis	maxʃɔvəs	6
פּנחס	פִּנְחָס	pnxs	pɪnxəs	6
וְשִׂמְחָה	וְשִׂמְחָה	iʃmxh	vsimxə	6
ולשמחה	וּלְשִׂמְחָה	ilʃmxh	iləsimxə	6
תשוקה	תְּשׁוּקָה	sʃix	tshuke	6
דתן	דָּתָן	dsən	dosn	6
הסתלקות	הִסְתַּלְקוּת	hsslkis	histalkəs	6
התהלך	הִתְהַלֵּךְ	hʃlx	hithaləx	6
חג	חַג	xɡ	xag	6
חק	חֹק	xk	xok	6
כתר	כֶּתֶר	xsr	kesər	6
מחדש	מחדש	mxdʃ	מחדש	6
משתתף	מִשְׁתַּתֵּף	mʃssf	משתתף	6
מתחת	מִתַּחַת	msxs	mitaxas	6
מתנגדים	מִתְנַגְדִים	msnɡdim	misnagdim	6
סדרות	סְדָרוֹת	sdris	sedrəs	6
תפתח	תִּפְתַּח	sfsx	tiftax	6
תתן	תִּתֵּן	ssən	titən	6
צדי"ק	צַדִּי"ק	ʦdi"k	tzadik	6
"אוי	"אוֹי	"ɔɪ	oj	6
"די	"די	"di	די	6
"על	"עַל	"ɛl	al	6
ו"ו	וָו"ו	i"i	vov	6
חמדתנו	חֶמְדָּתֵנוּ	xmdsni	xemdəsəni	6
יעב"ץ	יַעַבֵֿץ	jɛb"ʦ	javəts	6
יתגדל	יִתְגַּדַּל	isɡdl	jisgadəl	6
כפורת	כַּפּוֹרֶת	xfirs	kapojres	6
לאלי"	לאָלי"	lali"	loli	6
מסירת	מְסִירַת	msirs	msirəs	6
פינחס'ל	פִּינְחָסְל	finxɛs l	pinxəsl	6
תזבחו	תִּזְבָּחוּ	szbxi	tizboxu	6
תזכור	תִּזְכּוֹר	szxir	tizkor	6
תחמוד	תַחְמֹד	sxmid	taxmod	6
תפילת	תְּפִלַּת	sfils	תפילת	6
תפקיד	תַּפְקִיד	sfkid	tafkəd	6
תרומת	תְּרוּמַת	srims	truməs	6
בכורות	בְּכוֹרוֹת	bxiris	בכורות	6
גבורות	גְּבוּרוֹת	ɡbiris	gvires	6
התבודדות	הִתְבּוֹדְדוּת	hsbiddis	הסבודעדעס	6
חמורים	חֲמוֹרִים	xmirim	xamojrim	6
יפֿרח	יִפְרַח	ifrx	jifrax	6
נרות	נֵרוֹת	nris	najrəs	6
סוחרים	סוֹחֲרִים	sixrim	sojxrim	6
תמימים	תְּמִימִים	smimim	tmimim	6
תפֿילין	תְּפִלִּין	sfilin	tfiln	6
המה	הֵמָּה	hmh	hejmo	6
לשרה	לְשָׂרָה	lʃrh	ləsɔrɔ	6
מגפה	מַגֵּפָה	mɡfh	מגפה	6
נקבה	נְקֵבָה	nkbh	nkejvə	6
שמטה	שמטּה	ʃmth	ʃmitə	6
בורות	בּוֹרוֹת	biris	בורות	6
דעות	דעות	dɛis	דעות	6
הארגונות	הָאַרְגְוָנוֹת	harɡinis	hargonəs	6
הערות	הערות	hɛris	erəs	6
יוצרות	יוֹצְרוֹת	jiʦris	יוצרות	6
ימות	יָמוּת	imis	joməs	6
יסודות	יְסוֹדוֹת	isidis	jəsɔjdəs	6
כוסות	כּוֹסוֹת	xisis	kojsəs	6
כספֿ	כֶּסֶף	xsf	כסף	6
לעשות	לַעֲשׂוֹת	lɛʃis	laasojs	6
נגיעות	נְגִיעוֹת	nɡiɛis	nəgiəs	6
נסיונות	נִסְיוֹנוֹת	nsjinis	nisjones	6
עצבות	עַצְבוּת	ɛʦbis	atsvəs	6
ציציות	ציצית	ʦiʦjis	tsisəs	6
רוחניות	רוּחְנִיּוּת	rixnjis	ruxnijəs	6
תורות	תּוֹרוֹת	siris	toyres	6
אחת	אַחַת	axs	axas	6
אשת	אֵשֶׁת	aʃs	ejʃəs	6
בעתם	בְּעִתָּם	bɛsəm	bəitom	6
בקדושתו	בִּקְדֻשָּׁתוֹ	bkdiʃsi	bikdiʃoso	6
בתיה	בַּתְיָה	bsih	basjə	6
געחזרט	געחזרט	ɡɛxzrt	געחזרט	6
הבית	הַבַּיִת	hbis	הבית	6
ויתהלל	וְיִתְהַלַּל	ɔɪʃll	vəjishalal	6
זית	זַיִת	zis	zaɪs	6
חול	חוֹל	xil	חול	6
כזית	כְּזַיִת	xzis	kzajəs	6
מבית	מִבֵּית	mbis	mibejs	6
מוח	מוֹחַ	mix	mojəx	6
מערת	מְעָרַת	mɛrs	mearas	6
מתוך	מִתּוֹךְ	msix	mitox	6
עצרת	עֲצֶרֶת	ɛʦrs	atserəs	6
צורת	צוּרַת	ʦirs	צורת	6
שאגת	שַׁאֲגַת	ʃaɡs	ʃagəs	6
שבתדיקע	שבתדיקע	ʃubɛsdikə	ʃabəsdikə	6
שיכורת	שִׁכּוֹרֶת	ʃixirs	ʃixoyres	6
תוף	תּוֹף	sif	tɔjf	6
תמלא	תִּמָּלֵא	smla	timole	6
"וואָס	"וואָס	"vus	vos	6
באהבה	בְּאַהֲבָה	bahbh	bəahavə	6
בלילה	בַּלַּיְלָה	blilh	balajlo	6
המלוכה	הַמְּלוּכָה	hmlixh	haməlɔxə	6
כהונה	כְּהֻנָּה	xhinh	kəhinə	6
לטובה	לְטוֹבָה	ltibh	lətəvɔ	6
מזוזה	מְזוּזָה	mziʒ	mezuze	6
מליצה	מְלִיצָה	mliʧ	מליצה	6
נרוצה	נָרוּצָה	nriʧ	narutso	6
המלכים	הַמְּלָכִים	hmlxim	haməlɔxəm	6
נדרים	נְדָרִים	ndrim	נדארים	6
פֿרוכט	פֿרוכט	frixt	פרוכט	6
פשטים	פְּשָׁטִים	fʃtim	pʃotim	6
רמזים	רְמָזִים	rmzim	רמזים	6
אמת'ע	אֶמֶת'ע	ɛmɛsə	emese	6
בה	בָּהּ	bh	bo	6
בהם	בָּהֶם	bhm	bohem	6
בקשותינו	בַּקָּשׁוֹתֵינוּ	bkʃisini	bakoshojsajnii	6
הַדָּם	הַדָּם	hdəm	הדם	6
הבל	הֶבֶל	hbl	הבל	6
המדבר	הַמִּדְבָּר	hmdbr	המדבר	6
השלך	הַשְׁלֵךְ	hʃlx	haʃlɛx	6
וַיִּקַּח	וַיִּקַּח	iikx	vajikax	6
ובישועתך	וּבִישׁוּעָתְךָ	ibiʃiɛsx	uvjəʃuɔsχɔ	6
זב	זָב	zb	zav	6
זכותו	זְכוּתוֹ	zxisi	zxusoj	6
חילול	חִילוּל	xilil	חילול	6
יוחאי	יוֹחַאי	jixaː	jojxaj	6
יחיה	יִחְיֶה	ixih	יחיה	6
ישיבת	יְשִׁיבַת	iʃibs	jəʃivəs	6
לפרט	לִפְרָט	lfrt	ləprat	6
לשד	לְשַׁד	lʃd	ləʃad	6
לשמך	לְשִׁמְךָ	lʃmx	ləʃimxɔ	6
מנהל	מְנַהֵל	mnhl	מנהל	6
מקלט	מִקְלָט	mklt	miklət	6
עתידין	עֲתִידִין	ɛsidin	asidn	6
קדשך	קָדְשֶׁךָ	kdʃx	kadʃɛxə	6
שמך	שִׁמְךָ	ʃmx	ʃimxo	6
שמעתי	שָׁמַעְתִּי	ʃmɛsi	ʃoməti	6
שפר	שָׁפָר	ʃfr	ʃafr	6
תו	תָּו	si	tɔv	6
פּסוקים	פְּסוּקִים	psikim	psukəm	6
געחלומט	געחלומט	ɡɛxlimt	gəxoləmt	6
תשמעון"	תִּשְׁמְעוּן"	sʃmɛin"	תשמעון	5
ל"ט	ל"ט	l"t	lamɛdtes	5
סמ"ךמ"ם	סמ"ךמ"ם	səm"xəm"m	saməxmem	5
פ"ג	פ"ג	f"ɡ	pejgɪml	5
החכמה	הַחָכְמָה	hxxmh	haxoxmə	5
חרנה	חָרָנָה	xrnh	xurunu	5
מחזה	מַחֲזֵה	mxʒ	maxzə	5
נחמה	נֶחָמָה	nxmh	nəxamə	5
ספרתּורה	סֵפֶרתּוֹרָה	sfrtirh	saɪfərtaɪrə	5
קרחה	קָרְחָה	krxh	korxə	5
תכלה	תִּכְלֶה	sxlh	tixlə	5
שובב"ים	שׁוֹבָבִ"ים	ʃibb"im	ʃovavɪm	5
חזרט	חַזֶרְט	xzrt	xazərt	5
כתובה	כתובה	xsibh	kəsuvɔ	5
לתורה	לַתּוֹרָה	lsirh	לתורה	5
נתינה	נְתִינָה	nsinh	נתינה	5
דרשנות	דרשנות	drʃnis	דרשנות	5
הבדלות	הַבְדָּלוֹת	hbdlis	havdoləs	5
הנרות	הַנֵּרֹת	hnris	האנירעס	5
חלקים	חֲלָקִים	xlkim	χalokim	5
חקת	חֻקַּת	xks	xukəs	5
כפרות	כַּפָּרוֹת	xfris	כפרות	5
כרת	כָּרֵת	xrs	korəs	5
מדרגות	מַדְרֵגוֹת	mdrɡis	madrejges	5
מכח	מִכֹּחַ	mxx	mikojəx	5
מרת	מרת	mrs	מרת	5
נַחַת	נחַת	nxs	naχas	5
נחל	נַחַל	nxl	נחל	5
פלשתים	פְּלִשְׁתִּים	flʃsim	plɪʃtɪm	5
צלפחד	צְלָפְחָד	ʦlfxd	tslofxod	5
צפת	צפת	ʦfs	tsfas	5
קהלת	קהֶלֶת	xls	kojlɛlɛs	5
שבח	שֶׁבַח	ʃbx	ʃevax	5
שלחן	שֻׁלְחָן	ʃlxaɪn	שולחן	5
שמחות	שִׂמְחוֹת	ʃmxis	שמחות	5
תּלמיד־חכם	תַּלְמִיד־חָכָם	talmid xuxɛm	talmədxoxəm	5
תחת	תַּחַת	sxs	taxas	5
"פון	"פוּן	"fin	fun	5
גוט"	גוט"	ɡit"	גוט	5
ראב"ד	רַאָבַֿ"ד	rab"d	ראוואד	5
רש"א	רש"א	rʃ"a	raʃa	5
שובבי"ם	שׁוֹבָבִים	ʃibbi"m	ʃovəvim	5
תּלמידים	תַּלְמִידִים	tlmidim	talmidim	5
מגפֿה	מַגֵּפָה	mɡfh	magejfa	5
קטורת	קְטֹרֶת	ktirs	ktoyres	5
רבֿקה	רִבְקָה	rvx	rivkə	5
"יא	"יאָ	"ju	יא	5
"עם	"עַם	"ɛm	am	5
אלקיך"	אֱלֹהֶיךָ"	alkix"	אלקיך	5
בבחינת	בִּבְחִינַת	bbxins	bivxinəs	5
בחורל	בָּחוּרְל	bxirl	בחורל	5
ביתמדרש	בֵּיתמִדְרָשׁ	bismdrʃ	bejsmedreʃ	5
גברתי	גָּבַרְתִּי	ɡbrsi	gɔvərtɪ	5
ה"א	הֵא	h"a	he	5
ו"ף	ו"ף	i"f	vovfey	5
ואב"		iab"	ואב	5
ונתחזק	וְנִתְחַזֵּק	insxzk	vənəxazek	5
ושמרתם	וּשְׁמַרְתֶּם	iʃmrsəm	ושמרתם	5
י"ד	י"ד	i"d	juddaləd	5
יו"ד	יוּ"ד	ji"d	יוד	5
מחזיק	מַחֲזִיק	mxzik	maxzək	5
מחילתן	מְחִילָתָן	mxilsən	məχiləsn	5
משגיח	מַשְׁגִּיחַ	mʃɡix	maʃgiəx	5
נ"א	נ"א	n"a	נא	5
נחשון	נַחְשׁוֹן	nxʃin	naxʃn	5
עבֿירות	עבֿירות	ɛviris	avejres	5
שטות	שטות	ʃtis	ʃtəs	5
שלחני	שְׁלָחַנִי	ʃlxni	שלחני	5
תלמידחכם	תַּלְמִידחָכָם	slmidxxəm	תלמידחכם	5
תעשה	תַּעֲשֶׂה	sɛʃh	tasə	5
בשורות	בְּשׂוֹרוֹת	bʃiris	bsojrəs	5
גזירות	גזירות	ɡziris	gzajrəs	5
גמילות	גְמִילוּת	ɡmilis	gmiləs	5
זכרונות	זִכְרוֹנוֹת	zxrinis	זכרונות	5
חשיבות	חֲשִׁיבוּת	xʃibis	xaʃivəs	5
ליצנות	ליצנות	liʦnis	ליצנוס	5
לשונות	לְשׁוֹנוֹת	lʃinis	ləʃojnes	5
מופתים	מוֹפְתִים	mifsim	מופתים	5
מלאכות	מְלָאכוֹת	mlaxis	məloxəs	5
פחות	פחות	fxis	pəxəs	5
צחות	צַחוּת	ʦxis	tsaxəs	5
תשובות	תְּשׁוּבוֹת	sʃibis	tʃuvəs	5
זילפּה	זִלְפָּה	zilph	זילפא	5
ספֿירה	סְפִֿירָה	sfirh	sfira	5
אותה	אוֹתָהּ	iʃ	osə	5
הפטרה	הַפְטָרָה	hpatɛrh	haftojrə	5
לכה	לְכָה	lxh	ləxɔ	5
לשנה	לְשָׁנָה	lʃnh	ləʃana	5
מצבה	מַצֵּבָה	mʦbh	matsevə	5
מקנה	מִקְנֶה	mknh	mɪknə	5
מרבה	מַרְבֶּה	mrbh	marbe	5
קללה	קְלָלָה	kllh	klove	5
ששה	שִׁשָּׁה	ʃʃh	ʃɪʃo	5
אגודות	אגודות	aɡidis	אגודות	5
אוצרות	אוֹצְרוֹת	iʦris	אוצרות	5
בושות	בּוּשָׁה'ס	biʃis	biʃəs	5
בזיונות	בזיונות	bzjinis	bɪzjojnəs	5
דירות	דירות	diris	dirəs	5
הוצאות	הוֹצָאוֹת	hiʦais	xojzəs	5
חוט	חוּט	xit	xut	5
כּהן	כֹּהֵן	xən	koyen	5
לראות	לִרְאוֹת	lrais	lirojs	5
מכפּר	מְכַפֵּר	mxpr	mxapər	5
מעלות	מַעֲלוֹת	mɛlis	מעלות	5
עולות	עוֹלוֹת	ɛilis	עולות	5
פאות	פֶּאָהס	fais	dɪ	5
תירוצים	תירוצים	siriʦim	teritsəm	5
תנאים	תַּנָּאִים	snaːm	תנאים	5
בבית	בְּבֵית	bbis	בבית	5
בהעלותך	בְּהַעֲלֹתְךָ	bhɛlisx	bəhaləsxə	5
בעל־הבית	בַּעַל־הַבַּיִת	balɛbus	balhabas	5
בצאת	בְּצֵאת	bʦas	bejtses	5
גחון	גָחוֹן	ɡxin	gɔxən	5
הדעת	הַדַּעַת	hdɛs	hadaəs	5
היתר	הֶתֵּר	hisr	hejtər	5
וחס	וְחָס	ixs	vəxas	5
ויתקדש	וְיִתְקַדַּשׁ	ɔɪskdʃ	vəjiskadəʃ	5
ושבח	וְשֶׁבַח	iʃbx	vəʃevax	5
חומץ	חָמֵץ	ximʦ	xoməts	5
חושן	חוֹשֶׁן	xiʃən	xoʃn	5
חנני	חָנֵּנִי	xnni	xaneni	5
ישכחנו		iʃxxni	jɪʃkoxəjny	5
לקראתי	לִקְרָאתִי	lkrasi	likroysi	5
מידת	מִדַּת	mids	מידת	5
ממית	מֵמִית	mmis	majməs	5
נוחם	נוֹחֶם	nixəm	noχem	5
פשיסחא	פְּשִׁיסְחָא	fʃisxa	pʃisχə	5
צרעת	צָרַעַת	ʦrɛs	tsoraas	5
רחום	רַחוּם	rxim	raxəm	5
ריח	רֵיחַ	rix	reyekh	5
שבשמינית	שֶׁבִּשְׁמִינִית	ʃbʃminis	ʃəbiʃminəs	5
תהי	תְּהִי	ʃi	ti	5
תוקף	תּוֹקֶף	sikf	toykef	5
תשמעון	תִּשְׁמְעוּן	sʃmɛin	tiʃmɪn	5
אַתָּה	אַתָּה	aʃ	atə	5
אבקשה	אֲבַקְשָׁה	abkʃh	avakʃo	5
אדרבה	אַדְרַבָּה	adrbh	adrabə	5
ברירה	בְּרֵירָה	brirh	ברירה	5
השכינה	הַשְּׁכִינָה	hʃxinh	haʃxinə	5
ומנשה	וּמְנַשֶּׁה	imnʃh	umənaʃə	5
מדינה	מְדִינָה	mdinh	mdinə	5
נשיקה	נְשִׁיקָה	nʃix	nəʃikə	5
קטורה	קְטוּרָה	ktirh	ktiro	5
שליטה	שְׁלִיטָה	ʃlith	ʃlitə	5
שמירה	שְׁמִירָה	ʃmirh	שמירה	5
מברכים	מְבָרְכִים	mbrxim	מברכים	5
מנהגים	מִנְהָגִים	mnhɡim	מנהגים	5
מקדים	מַקְדִים	mkdim	makdim	5
מקטרגים	מְקַטְרְגִים	mktrɡim	מקטרגים	5
משלים	משלים	mʃlim	משלים	5
שלעפּט	שלעפּט	ʃlɛpt	ʃlept	5
שלעפּן	שלעפּן	ʃlɛpən	ʃlepn	5
אחיו	אחיו	axji	oxəv	5
בלב	בְּלֵב	blb	בלב	5
בנך	בִּנְךָ	bnx	binxo	5
בקהל	בִּקְהַל	bxl	bikhal	5
גד	גָד	ɡd	god	5
גזלן	גזלן	ɡzlən	gazlən	5
גשם	גֶשֶׁם	ɡʃəm	geʃem	5
דרשנ'ט	דאַרשנ'ט	drʃnt	darʃənt	5
הדם	הַדָּם	hdəm	hadom	5
המדרש	הַמִּדְרָשׁ	hmdrʃ	המדרש	5
הנר	הַנֵּר	hnr	haner	5
הקטן	הַקָּטָן	hktən	hakotn	5
השקל	הַשֶּׁקֶל	hʃkl	aʃekl	5
ואיחי		iaːxi	ואיחי	5
ונחנו	וְנַחְנוּ	inxni	vənaxnɪ	5
חומרא	חוּמְרָא	ximra	חומרא	5
יחוד	יִחוּד	ixid	יחוד	5
כבר	כְּבָר	xbr	kvar	5
ככל	כְּכָל	xxl	ככל	5
כלב	כָּלֵב	xlb	כלב	5
כרפס	כַּרְפַּס	xrfs	כרפס	5
לברך	לְבָרֵךְ	lbrx	ləvaraχ	5
לכף	לְכַף	lxf	lexaf	5
לעשותו	לַעֲשׂוֹתוֹ	lɛʃisi	laasojso	5
מהרל	מהר"ל	mhrl	מהרל	5
מקטרג	מְקַטְרֵג	mktrɡ	מקטרג	5
נדב	נָדָב	ndb	nodəv	5
נהר	נְהַר	nhr	nehar	5
נפטר	נִפְטַר	npatɛr	nifter	5
נפלאותיו	נִפְלְאוֹתָיו	nflaisji	נפלאותיו	5
נשמה'ס	נְשָׁמָה'ס	nʃmhs	nəʃoməs	5
סעודת	סעודת	sɛids	szidəs	5
קבל	קַבֵּל	kbl	kabəl	5
קדש	קָדָשׁ	kdʃ	kadəʃ	5
קנס	קְנָס	kns	קנס	5
קריעת	קְרִיעַת	kriɛs	קריעת	5
קרן	קֶרֶן	krən	kerən	5
ראשית	רֵאשִׁית	raʃis	rəjʃəs	5
רדן	רעדן	rdən	redn	5
שה	שֶׂה	ʃh	ʃe	5
שהכל	שֶׁהַכֹּל	ʃhxl	ʃəhakojl	5
תֹאכְלוּ	תֹאכְלוּ	saxli	תאכלו	5
תיו	תָּו	sji	tof	5
תקיעת	תְּקִיעַת	skiɛs	תקיעת	5
ב"ח	ב"ח	b"x	bax	4
ר"ת	ר"ת	r"s	ראשיתיבות	4
שבת"	שַׁבָּת"	ʃubɛs"	ʃabəs	4
תשפ"ב	תשפ"ב	sʃf"b	taʃpab	4
"ושננתם"	"ושננתם"	"iʃnnsəm"	vəʃinantam	4
הקב"ה	הַקָּדוֹשׁ־בָּרוּךְ־הוּא	hkb"h	hakadoʃborəxhi	4
של"ה	שְׁלַ"ה	ʃl"h	שלה	4
"זאת	"זֹאת	"zas	zojs	4
תלכו"	תלכו"	slxi"	תלכו	4
"וידעת	"וְיָדַעְתָּ	"ɔɪdɛs	veyodato	4
"וישמח"	"וְשָׂמַח"	"ɔɪʃmx"	vesojmax	4
"כל	"כָּל	"kul	קאל	4
הרמב"ם	הרמב"ם	hrmb"m	harambam	4
כ"ב	כ"ב	x"b	xafbejs	4
כ"ג	כ"ג	x"ɡ	כג	4
כ"ז	כ"ז	x"z	kafzajn	4
כ"ט	כֿ"ט	x"t	kaftes	4
ל"ב	ל"ב	l"b	laıv	4
מ"צ	מ"צ	m"ʦ	mejmtsadək	4
פ"צ	פּ"צ	f"ʦ	pejtsadək	4
רש"ב	רַשָׁ"בּ	rʃ"b	raʃab	4
ש"ן	שִׁ"ן	ʃ"n	ʃin	4
ת"ו	תָו	s"i	tof	4
תי"ו	תָּיו	si"i	tɔf	4
חגלה	חָגְלָה	xɡlh	xoglə	4
חנה	חנה	xnh	xanə	4
מחצה	מחצה	mxʧ	meχitse	4
נחלה	נַחֲלָה	nxlh	naχələ	4
תפֿיסה	תּפֿיסה	sfiʃ	tfisə	4
תרצה	תִּרְצֶה	srʧ	tirtsə	4
תשובֿה	תְּשׁוּבָה	sʃivh	תשובה	4
מלבי"ם	מלבי"ם	mlbi"m	malbim	4
פּחד	פַּחַד	pxd	paxəd	4
ונשמחה	וְנִשְׂמְחָה	inʃmxh	venismexo	4
חגיגה	חֲגִיגָה	xɡiɡh	xagigə	4
מבולחמה	מלחמה	mbilxmh	מלחמה	4
פשטות	פַּשְׁטוּת	fʃtis	paʃtəs	4
שחטן	שַׁחְטְן	ʃxtən	ʃaxtn	4
תמימה	תְּמִימָה	smimh	tmimə	4
תקופה	תקופה	skifh	תקופה	4
בקשות	בַּקָּשׁוֹת	bkʃis	bakɔʃəs	4
בשמחת	בְּשִׂמְחַת	bʃmxs	bisimxəs	4
החמת	הַחֵמֶת	hxms	haxaɪməs	4
המתקת	הַמְתָּקַת	hmsks	hamtokas	4
הרת	הֲרַת	hrs	haras	4
השגות	הַשָּׂגוֹת	hʃɡis	hasogəs	4
התלהבות	הִתְלַהֲבוּת	hslhbis	התלהבות	4
חזנות	חַזָּנוּת	xznis	xazənəs	4
חזר'ן	חזר'ן	xzrən	xazərn	4
חלב	חָלָב	xlb	xələv	4
חנם	חִנָּם	xnm	χinəm	4
חסר	חָסֵר	xsr	xosər	4
חצר	חָצֵר	xʦr	xutser	4
חקכם		xkxəm	xukjxem	4
חשק	חשק	xʃk	chaashek	4
חתנים	חֲתָנִים	xsnim	xasanim	4
כשרות	כַּשְׁרוּת	xʃris	kaʃrəs	4
למנצח	למנצח	lmnʦx	lamnatsejakh	4
לקח	לֶקַח	lkx	lokax	4
מכפות	מַכּוֹת	mxfis	makəs	4
ממלכת	מַמְלֶכֶת	mmlxs	mamlɛxɛs	4
מסחר	מִסְחָר	msxr	misxər	4
משנת	מִשְׁנַת	mʃns	miʃnas	4
מתפלל	מִתְפַּלֵּל	msfll	mɪspaləl	4
נדבות	נְדָבוֹת	ndbis	nedoves	4
נחש	נָחָשׁ	nxʃ	noxəʃ	4
נצח	נֶצַח	nʦx	najtsax	4
סלח	סְלַח	slx	slax	4
סרח	סֶרַח	srx	serax	4
פנחס'ל	פִּנְחָסְל	fnxɛs l	pinxəsl	4
פתח	פֶּתַח	fsx	pesax	4
צדקת	צדקת	ʦdks	צדקת	4
רחמן	רַחֲמָן	rxmən	raxmɔn	4
שׁלח	שׁלח	ʃlx	ʃəlax	4
שבנצח	שֶׁבְּנֶצַח	ʃbnʦx	ʃəbnajtsax	4
שבתות	שַׁבָּתוֹת	ʃubɛsis	ʃabosəs	4
שלשלת	שַׁלְשֶׁלֶת	ʃlʃls	ʃalʃeləs	4
תשכח	תִּשְׁכָּח	sʃxx	tiʃkax	4
"שומרים"	"שׁוֹמְרִים"	"ʃimrim"	ʃojmrɪm	4
בלע"ז	בַּלַעַז	blə"z	בלעז	4
הארץ"	הָאָרֶץ"	harʦ"	hajrəts	4
השפּעות	הַשְׁפָּעוֹת	hʃpɛis	haʃpoəs	4
