word_bare	canonical_pointed	n_variants_before	total_count	source
מנוחה	מְנוּחָה	2	27	gemini
פוסק	פּוֹסֵק	3	27	gemini
ריבניצער	רִיבְנִיצֶער	2	27	gemini
שונא	שׂוֹנֵא	5	27	gemini
קיגל	קִיגְל	3	27	gemini
אזעוי	אַזֶעוֹי	3	27	gemini
ו	וּ	3	27	majority
יברכך	יְבָרֶכְךָ	2	27	gemini
אנשי	אַנְשֵׁי	3	27	gemini
תבות	תֵּבוֹת	3	26	gemini
ידו	יָדוֹ	2	26	gemini
אודאי	אַוַדַאי	6	26	gemini
טאש	טאַש	5	26	gemini
פלאן	פּלאַן	4	26	gemini
געהויבענע	גֶעהוֹיבֶענֶע	6	26	gemini
לבו	לִבּוֹ	2	26	gemini
שפיטאל	שְׁפּיטָאָל	4	26	gemini
באט	באַט	6	26	gemini
נחמן	נַחְמָן	2	26	gemini
טוישן	טוֹיְשְׁן	4	26	gemini
יבא	יָבֹא	3	26	gemini
מיטוואך	מִיטְוואָךְ	8	26	gemini
מצבה	מַצֵּבָה	3	26	gemini
וואוו	ווָאווֹ	4	26	gemini
בבית	בְּבֵית	3	26	gemini
השכינה	הַשְּׁכִינָה	2	26	gemini
גלייב	גְלַייבּ	6	26	gemini
באשערט	בַּאשֶׁערְט	4	26	gemini
שפע	שֶׁפַע	2	26	gemini
וויבאלד	ווִיבַאלְד	8	26	gemini
בזכות	בִּזְכוּת	2	26	gemini
געטון	גֶעטוּן	5	26	gemini
מיליאנען	מִילְיאָנֶען	4	26	gemini
אוועקגעגאנגען	אַווֶעקְגֶעגַאנְגֶען	9	26	gemini
נחת	נַחַת	3	26	gemini
אותו	אוֹתוֹ	1	26	mechanical
ועד	וָעֶד	3	26	gemini
זא	זאַ	5	26	gemini
כאשר	כַּאֲשֶׁר	3	26	gemini
צימער	צִימֶער	2	26	gemini
געדאוואנט	גֶעדַאוואַנְט	4	26	gemini
צוריקגעקומען	צוּרִיקְגֶעקוּמֶען	6	26	gemini
יצר-הרע	יֵצֶר-הָרָע	2	26	gemini
שטיקלעך	שְׁטִיקְלֶעךְ	3	26	gemini
סיום	סִיּוּם	2	26	gemini
לינקע	לִינְקֶע	2	26	gemini
מת	מֵת	2	26	gemini
תנאים	תַּנָּאִים	4	26	gemini
אויסגעלערנט	אוֹיסְגֶעלֶערְנְט	7	26	gemini
השפעה	הַשְׁפָּעָה	1	26	mechanical
קאפל	קַאַפְּל	7	26	gemini
בשלום	בְּשָׁלוֹם	4	26	gemini
מסירת	מְסִירַת	1	26	mechanical
טויט	טוֹיט	3	26	gemini
בשורה	בְּשׂוּרָה	4	26	gemini
הבן	הַבֵּן	5	26	gemini
מטות	מַטּוֹת	1	26	mechanical
באן	בַּאַן	2	26	gemini
מסורה	מְסוֹרָה	4	26	gemini
קלענערע	קְלֶענֶערֶע	3	26	gemini
עלטערן	עֶלְטֶערְן	2	26	gemini
תמים	תָּמִים	3	26	gemini
רעגן	רֶעגְן	2	26	gemini
זאן	זַאַן	3	26	gemini
פריץ	פָּרִיץ	5	26	gemini
ווילנער	ווִילְנֶער	4	26	gemini
שבעת	שִׁבְעַת	2	26	gemini
אויפשטיין	אוֹיפְֿשְׁטֵיין	7	26	gemini
זעלבן	זֶעלְבְּן	7	26	gemini
אינדרויסן	אִינְדְרוֹיסְן	4	26	gemini
רוף	רוּף	2	26	gemini
דרייסיק	דְרַייַסִיק	5	26	gemini
לאה	לֵאָה	2	26	gemini
דריטן	דְרִיטְן	2	25	gemini
קראנק	קְרַאַנְק	5	25	gemini
כוסות	כּוֹסוֹת	3	25	gemini
אחת	אַחַת	2	25	mechanical
טייער	טַייַעֶר	6	25	gemini
אמתדיג	אֶמֶתְדִיג	7	25	gemini
תקיעה	תְּקִיעָה	2	25	gemini
אמתדיק	אֶמֶתְדִיק	9	25	gemini
קדיש	קַדִּישׁ	4	25	gemini
רשות	רְשׁוּת	2	25	gemini
ושמרו	וְשָׁמְרוּ	1	25	mechanical
שפירן	שְׁפִּירְן	4	25	gemini
גרייטן	גְרֵייטְן	3	25	gemini
העם	הָעָם	1	25	mechanical
זיידעס	זֵיידֶעס	5	25	gemini
נדר	נֶדֶר	3	25	gemini
טאטש	טַאַטְשׁ	5	25	gemini
שנת	שְׁנַת	1	25	mechanical
יציאת	יְצִיאַת	3	25	gemini
סוף-כל-סוף	סוֹף-כָּל-סוֹף	3	25	gemini
קלייד	קְלֵייד	2	25	gemini
נאנט	נָאָנְט	4	25	gemini
היליקן	הֵילִיקְן	1	25	mechanical
עפל	עֶפְּל	3	25	gemini
גלויבט	גְלוֹיבְט	6	25	gemini
ביזי	בִּיזִי	3	25	gemini
יין	יַיִן	1	25	mechanical
בלי	בְּלִי	2	25	gemini
תתן	תִּתֵּן	3	25	gemini
ביזסט	בִּיזְסְט	3	25	gemini
חלומות	חֲלוֹמוֹת	2	25	gemini
מנהגים	מִנְהָגִים	3	25	gemini
פעקלעך	פֶּעקְלֶעך	5	25	gemini
עממ	עֶמְמ	2	25	gemini
בריתי	בְּרִיתִי	1	25	mechanical
רש"אי	רַשְׁ"אִי	1	25	mechanical
וואשן	וואַשְׁן	4	25	gemini
איבערגעדרייט	אִיבֶּערְגֶעדְרֵייט	5	25	gemini
לאך	לאָך	7	25	gemini
טמא	טָמֵא	2	25	gemini
אזזוי	אַזזֹוי	6	25	gemini
וואנט	וואַנְט	4	25	gemini
אנגענומען	אָנְגֶענוּמֶען	4	25	gemini
גולם	גּוֹלֶם	5	25	gemini
כ'בין	כ'בִּין	9	25	gemini
פרידמאן	פֿרִידְמַאן	7	25	gemini
חרב	חָרֵב	5	25	gemini
אלהינו	אֱלֹהֵינוּ	1	25	mechanical
זעצט	זֶעצְט	4	25	gemini
מבין	מֵבִין	3	25	gemini
אוועקנעמען	אַוועֶקְנֶעמֶען	8	25	gemini
סלאנים	סְלָאנִים	6	25	gemini
מיני	מִינֵי	4	25	gemini
סדרות	סְדָרוֹת	3	25	gemini
שומרים	שׁוֹמְרִים	4	25	gemini
אינגל	אִינְגְל	3	25	gemini
בענטש	בֶּענְטְשׁ	3	25	gemini
שקל	שֶׁקֶל	2	25	gemini
שבועה	שְׁבוּעָה	1	25	mechanical
שוועסטער	שְׁווֶעסְטֶער	5	25	gemini
אלעם	אַלֶעם	3	25	gemini
ישא	יִשָּׂא	2	25	gemini
אותי	אוֹתִי	1	25	mechanical
אויסגעלייזט	אוֹיסְגֶעלֵייזְט	5	25	gemini
שייך	שַׁיּיָךְ	7	25	gemini
נודע	נוֹדָע	4	25	gemini
נשמת	נִשְׁמַת	1	25	mechanical
דרוש	דְּרוּשׁ	4	24	gemini
מוראדיג	מוֹרָאדִיג	6	24	gemini
איבערגעלאזט	אִיבֶּערְגֶעלָאָזְט	7	24	gemini
שייכות	שַׁייְכוּת	5	24	gemini
ארויפגיין	אַרוֹיפֿגֵיין	6	24	gemini
שפאצירן	שְׁפּאַצִירְן	8	24	gemini
אויסגעזען	אוֹיסְגֶעזֶען	6	24	gemini
בריסקער	בְּרִיסְקֶער	3	24	gemini
ס'דארף	סְ'דאַרף	7	24	gemini
שניידן	שְׁנַיידְן	5	24	gemini
מלאכות	מְלָאכוֹת	2	24	gemini
בשמים	בְּשָׂמִים	6	24	gemini
מ'מאכט	מְ'מַאכְט	8	24	gemini
שאפן	שאַפֿן	6	24	gemini
פאלאץ	פּאַלאַץ	8	24	gemini
שיינט	שֵׁיינְט	5	24	gemini
תשכח	תִּשְׁכָּח	5	24	gemini
הויה	הַוָיָה	5	24	gemini
אדומה	אֲדוּמָה	1	24	mechanical
בדחן	בַּדְחָן	5	24	gemini
שלאגן	שְׁלָאגְן	3	24	gemini
ערלעכער	עֶרְלֶעכֶער	5	24	gemini
לגבי	לְגַבֵּי	2	24	gemini
אערשטע	אֶערְשְׁטֶע	1	24	mechanical
צוועלף	צְווֶעלְף	6	24	gemini
חדר	חֶדֶר	4	24	gemini
האקט	הַאַקְט	5	24	gemini
מאנא	מָאנָא	4	24	gemini
געשפירט	גֶעשְׁפִּירְט	5	24	gemini
אנקומען	אָנְקוּמֶען	4	24	gemini
הייליק	הֵיילִיק	6	24	gemini
זעכציג	זֶעכְצִיג	2	24	gemini
שטאמט	שְׁטַאַמְט	4	24	gemini
גרויסקייט	גְרוֹיסְקֵייט	5	24	gemini
דניאל	דָּנִיֵּאל	5	24	gemini
געטייטשט	גֶעטַייְטְשְׁט	6	24	gemini
כף	כַּף	2	24	gemini
יידישקייט	ייִדִישְׁקֵייט	6	24	gemini
געוואלדיק	גֶעוואַלְדִיק	6	24	gemini
חמשה	חֲמִשָּׁה	1	24	mechanical
גרינגער	גְרִינְגֶער	3	24	gemini
שאקל	שאַקל	8	24	gemini
בנין	בִּנְיָן	4	24	gemini
ארויסנעמען	אַרוֹיסְנֶעמֶען	7	24	gemini
מאד	מְאֹד	1	24	mechanical
פראגע	פֿרָאגֶע	7	24	gemini
אביגדור	אֲבִיגְדוֹר	8	24	gemini
שווארץ	שְׁוואַרְץ	5	24	gemini
גאסן	גאַסן	4	24	gemini
הם	הֵם	3	24	gemini
חיל	חַיִל	2	24	gemini
וואקסט	וואַקסט	4	24	gemini
נשמע	נִשְׁמָע	2	24	gemini
פינפ	פִֿינפֿ	5	24	majority
געפעלט	גֶעפֶעלְט	5	24	gemini
עדות	עֵדוּת	3	24	gemini
יהי	יְהִי	1	24	mechanical
דיזע	דִיזֶע	3	24	gemini
מדת	מִדַּת	2	24	gemini
חסדי	חַסְדֵי	2	24	gemini
שיך	שִׁיךְ	5	24	gemini
ס'הייסט	סְ'הֵייסְט	5	24	gemini
מאמר	מַאֲמָר	5	24	gemini
רבי'ס	רֶבִּי'ס	3	24	gemini
שיק	שִׁיק	2	24	gemini
הלילות	הַלֵּילוֹת	2	24	gemini
השקל	הַשֶּׁקֶל	4	24	gemini
מבשר	מְבַשֵּׂר	4	24	gemini
הי	הַי	2	24	gemini
ייידן	יייִדְן	5	24	gemini
לטובה	לְטוֹבָה	1	23	mechanical
אויבערשטן	אוֹיבֶּערְשְׁטְן	6	23	gemini
געפאסט	גֶעפַּאַסְט	7	23	gemini
יענעמס	יֶענֶעמְס	4	23	gemini
קבלה	קַבָּלָה	2	23	gemini
לבוא	לָבוֹא	2	23	gemini
זעצן	זֶעצְן	2	23	gemini
אויסגעפירט	אוֹיסְגֶעפִֿירְט	9	23	gemini
ידיד	יְדִיד	3	23	gemini
אינעווייניג	אִינֶעווֵיינִיג	8	23	gemini
קוקסט	קוּקְסְט	3	23	gemini
תורתך	תּוֹרָתֶךָ	3	23	gemini
ושמחה	וְשִׂמְחָה	2	23	gemini
צבור	צִבּוּר	1	23	mechanical
פארדעם	פַֿאַרְדֶעם	6	23	gemini
לולב	לוּלָב	3	23	gemini
אוצרות	אוֹצְרוֹת	2	23	gemini
כ'ווייס	כ'ווֵייס	5	23	gemini
צאל	צאָל	5	23	gemini
דריטער	דְרִיטֶער	2	23	gemini
גילוי	גִילּוּי	3	23	gemini
דוד'ל	דָוִד'ל	4	23	gemini
פריערדיקע	פֿרִיִערְדִיקֶע	4	23	gemini
פירוש	פֵּירוּשׁ	4	23	gemini
האקן	הַאַקְן	6	23	gemini
ראטעווען	רַאַטֶעווֶען	7	23	gemini
פרייען	פֿרֵייֶען	11	23	gemini
שמואס	שְׁמוּאֶס	1	23	mechanical
טאטנס	טַאַטְנְס	5	23	gemini
קרעטשמע	קְרֶעטְשְׁמֶע	3	23	gemini
מלכי	מַלְכֵי	2	23	gemini
אומגעפער	אוּמְגֶעפֶֿער	8	23	gemini
ידים	יָדַיִם	1	23	mechanical
בום	בּוּם	3	23	gemini
בארגן	בָאַרְגְן	8	23	gemini
נאכגעזאגט	נָאַכְגֶעזָאַגְט	6	23	gemini
אויפשטעלן	אוֹיפֿשְׁטֶעלְן	5	23	gemini
אירע	אִירֶע	3	23	gemini
יסודות	יְסוֹדוֹת	2	23	gemini
נפטר	נִפְטַר	4	23	gemini
תנועה	תְּנוּעָה	4	23	gemini
מהר"ם	מַהֲרַ"ם	4	23	gemini
קומסטו	קוּמְסְטוּ	7	23	gemini
מעגלעך	מֶעגְלֶעךְ	6	23	gemini
מירון	מֵירוֹן	3	23	gemini
כאן	כָּאן	6	23	gemini
לערן	לֶערְן	4	23	gemini
למד	לָמֶד	2	23	gemini
שפיץ	שְׁפִּיץ	5	23	gemini
המתים	הַמֵּתִים	1	23	mechanical
רואיג	רוּאִיג	3	23	gemini
אוהב	אוֹהֵב	2	23	gemini
ענער	עֶנֶער	3	23	gemini
געשעהן	גֶעשֶׁעהְן	4	23	gemini
דב	דֹּב	4	23	gemini
ציטערט	צִיטֶערְט	4	23	gemini
אלהיך	אֱלֹהֶיךָ	1	23	mechanical
געוווינט	גֶעוווֹינְט	6	23	gemini
נאט	נאָט	3	23	gemini
כתיבה	כְּתִיבָה	3	23	gemini
בכורים	בִּכּוּרִים	2	23	gemini
כפרה	כַּפָּרָה	2	23	gemini
שבעל	שֶׁבַּעַל	2	23	gemini
הראט	הראָט	1	23	mechanical
שעפעלעך	שֶׁעפֶֿעלֶעךְ	6	23	gemini
גרוב	גְרוּבּ	6	23	gemini
כינדער	כִּינְדֶער	2	23	gemini
בם	בָּם	3	23	gemini
פייגל	פֿייַגְל	5	23	gemini
שמעלקא	שְׁמֶעלְקֶא	5	23	gemini
אהבתי	אָהַבְתִּי	1	23	mechanical
המות	הַמָּוֶת	1	22	mechanical
אויסדרוק	אוֹיסְדְרוּק	4	22	gemini
הויט	הוֹיט	3	22	gemini
פריאער	פְֿרִיאֶער	4	22	gemini
מיכאל	מִיכָאֵל	3	22	gemini
פיינע	פֿייַנֶע	5	22	gemini
עת	עֵת	1	22	mechanical
נוך	נוֹךְ	5	22	gemini
ל"ט	ל"ט	1	22	mechanical
אפהאלטן	אָפּהַאַלְטְן	8	22	gemini
גראם	גְראַם	6	22	gemini
ענק	עֶנְק	5	22	gemini
בשבת	בְּשַׁבָּת	4	22	gemini
בצלאל	בְּצַלְאֵל	2	22	gemini
בעזרת	בְּעֶזְרַת	1	22	mechanical
צוה	צִוָּה	2	22	gemini
שמאי	שַׁמַּאי	4	22	gemini
אותם	אוֹתָם	2	22	gemini
ריזיקע	רִיזִיקֶע	4	22	gemini
היינטיגע	הַיינְטִיגֶע	7	22	gemini
תקון	תִּקּוּן	1	22	mechanical
געפאלט	גֶעפֿאַלְט	8	22	gemini
צופרי	צוּפֿרִי	6	22	gemini
מחותן	מְחוּתָן	7	22	gemini
מחזור	מַחֲזוֹר	5	22	gemini
געשלאגן	גֶעשְׁלָאגְן	4	22	gemini
שפחה	שִׁפְחָה	3	22	gemini
מוציא	מוֹצִיא	2	22	gemini
סידיס	סִידִיס	2	22	gemini
כ	כְּ	5	22	gemini
קלאפן	קְלַאפּן	7	22	gemini
אלקיכם	אֱלֹקֵיכֶם	2	22	gemini
פאריגע	פֿאָרִיגֶע	11	22	gemini
אלפי	אַלְפֵי	3	22	gemini
בתוך	בְּתוֹךְ	2	22	gemini
זעץ	זֶעץ	3	22	gemini
זינדיקן	זִינְדִיקְן	2	22	gemini
חול	חוֹל	1	22	mechanical
עע	עֶע	2	22	gemini
כנסת	כְּנֶסֶת	5	22	gemini
לויה	לְוָיָה	7	22	gemini
ועל	וְעַל	4	22	gemini
נענטער	נֶענְטֶער	4	22	gemini
לכו	לְכוּ	3	22	gemini
פרק	פֶּרֶק	2	22	gemini
געענדיגט	גֶעעֶנְדִיגְט	3	22	gemini
דרשנט	דַרְשְׁנְט	6	22	gemini
פעלדמאן	פֶֿעלְדְמַאן	7	22	gemini
שפלות	שִׁפְלוּת	4	22	gemini
יפרח	יִפְרַח	2	22	gemini
אוועקגענומען	אַוועֶקְגֶענוּמֶען	6	22	gemini
טייטשן	טַייטְשְׁן	5	22	gemini
רבעצין	רֶבֶּעצִין	2	22	gemini
סארט	סאָרט	2	22	gemini
לענגערע	לֶענְגֶערֶע	3	22	gemini
איינציג	אֵיינְצִיג	3	22	gemini
געווינען	גֶעווִינֶען	4	22	gemini
פאררעכטן	פֿאַרְרֶעכְטְן	6	22	gemini
עצבות	עַצְבוּת	2	22	gemini
געווינטשן	גֶעווִינְטְשְׁן	3	22	gemini
קבר	קֶבֶר	4	22	gemini
האף	האָף	3	22	gemini
איבערגעבן	אִיבֶּערְגֶעבְן	5	22	gemini
פרייט	פֿרֵייט	8	22	gemini
שעכטן	שֶׁעכְטְן	3	22	gemini
המשיח	הַמָּשִׁיחַ	1	22	mechanical
והנה	וְהִנֵּה	1	22	mechanical
פרייטיק	פֿרַייַטִיק	10	22	gemini
הונט	הוּנְט	3	22	gemini
אויסגעהיילט	אוֹיסְגֶעהֵיילְט	5	22	gemini
שור	שׁוֹר	4	22	gemini
חסרון	חִסָּרוֹן	4	22	gemini
פלעג	פֿלֶעג	6	22	gemini
לופט	לוּפְט	5	22	majority
גרין	גְרִין	2	22	gemini
טיילט	טייַלט	6	22	gemini
קאראהאד	קָאָרָאהָאד	3	22	gemini
רעכץ	רֶעכְץ	2	21	gemini
מ'אט	מ'אָט	4	21	gemini
שעור	שִׁעוּר	1	21	mechanical
אלמנה	אַלְמָנָה	2	21	gemini
עכטע	עֶכְטֶע	2	21	gemini
לעתיד	לְעָתִיד	4	21	gemini
יודן	יוּדְן	5	21	gemini
רעבע	רֶעבֶּע	4	21	gemini
הכרת	הַכָּרַת	2	21	gemini
טשערנאבלער	טשֶערְנאָבְּלֶער	4	21	gemini
מדרגות	מַדְרֵגוֹת	3	21	gemini
אנדערער	אַנְדֶערֶער	2	21	gemini
ישעיה	יְשַׁעְיָה	3	21	gemini
שלעפט	שְׁלֶעפְט	4	21	gemini
שפירט	שְׁפִּירְט	5	21	gemini
וו	ווָ	4	21	majority
ניצט	נִיצְט	3	21	gemini
אומקערן	אוּמְקֶערְן	3	21	gemini
מענער	מֶענֶער	2	21	gemini
הכבוד	הַכָּבוֹד	2	21	gemini
ניסים	נִיסִים	2	21	gemini
געגנט	גֶעגְנְט	4	21	gemini
ההוא	הַהוּא	2	21	gemini
הארגענען	הַאַרְגֶענֶען	6	21	gemini
סנהדרין	סַנְהֶדְרִין	2	21	gemini
דרשה	דְּרָשָׁה	2	21	gemini
זכיה	זְכִיָּה	4	21	gemini
הגאונים	הַגְּאוֹנִים	2	21	gemini
אויסגעגאנגען	אוֹיסְגֶעגַאנְגֶען	4	21	gemini
דערין	דֶערִין	2	21	gemini
מזכיר	מַזְכִּיר	3	21	gemini
פרשטייט	פַֿרְשְׁטֵייט	3	21	gemini
געגאסן	גֶעגָאָסְן	6	21	gemini
לפרט	לִפְרָט	3	21	gemini
דייטשלאנד	דַייְטְשְׁלַאַנְד	9	21	gemini
זאץ	זַאַץ	3	21	gemini
בלעטער	בְּלֶעטֶער	4	21	gemini
בעקעטשע	בֶּעקֶעטְשֶׁע	2	21	gemini
יקר	יָקָר	4	21	gemini
מוסיף	מוֹסִיף	2	21	gemini
שמטה	שְׁמִטָּה	3	21	gemini
וויכטיג	ווִיכְטִיג	3	21	gemini
בארץ	בָּאָרֶץ	2	21	gemini
נשא	נָשֹׂא	5	21	gemini
גר	גֵר	2	21	gemini
קענן	קֶענֶן	3	21	gemini
יברך	יְבָרֵךְ	2	21	gemini
חלקים	חֲלָקִים	2	21	gemini
נשיאים	נְשִׂיאִים	2	21	gemini
בכיות	בְּכִיּוֹת	1	21	mechanical
אלפים	אֲלָפִים	4	21	gemini
מערסטע	מֶערְסְטֶע	2	21	gemini
עומד	עוֹמֵד	1	21	mechanical
מוראדיקער	מוֹרָאדִיקֶער	6	21	gemini
טריסקער	טְרִיסְקֶער	2	21	gemini
מורא'דיגער	מוֹרָא'דִיגֶער	4	21	gemini
מנטשן	מֶנְטְשְׁן	2	21	gemini
רבא	רַבָּא	3	21	gemini
לשונות	לְשׁוֹנוֹת	3	21	gemini
סקווירער	סְקְווִירֶער	5	21	gemini
קאזמירער	קָאזְמִירֶער	7	21	gemini
ערנסטע	עֶרְנְסְטֶע	3	21	gemini
הירש	הִירְשׁ	3	21	gemini
ריש	רֵישׁ	1	21	mechanical
וזאת	וְזֹאת	2	21	gemini
תשמעו	תִּשְׁמְעוּ	3	21	gemini
אויפגעכאפט	אוֹיפֿגֶעכַאַפּט	5	21	gemini
שופט	שׁוֹפֵט	2	21	gemini
הערלעכע	הֶערְלֶעכֶע	3	21	gemini
באגלייט	בַּאגְלֵייט	5	21	gemini
טשעבינער	טְשֶׁעבִּינֶער	2	21	gemini
יראו	יֵרָאוּ	2	21	gemini
באמונה	בֶּאֱמוּנָה	1	21	mechanical
טאשער	טָאשֶׁער	6	21	gemini
פארטריבן	פַֿאַרְטְרִיבְן	6	21	gemini
מיליאן	מִילְיאָן	3	21	gemini
מלאכי	מַלְאֲכֵי	7	21	gemini
היילט	הֵיילְט	4	21	gemini
ווענדט	ווֶענְדְט	6	21	gemini
שוואכער	שְׁוואַכֶער	6	21	gemini
טרייסט	טְרֵייְסְט	6	21	gemini
מחויב	מְחוּיָב	7	21	gemini
אייגער	אֵייגֶער	4	21	gemini
מלא	מְלֹא	4	21	gemini
געשעט	גֶעשֶׁעט	2	20	gemini
שטאק	שְׁטאָק	6	20	gemini
מעסעדזשעס	מֶעסֶעדְזְשֶעס	5	20	gemini
השירים	הַשִּׁירִים	3	20	gemini
שענסטע	שֶׁענְסְטֶע	4	20	gemini
נעמסט	נֶעמְסְט	2	20	gemini
לובלין	לוּבְלִין	4	20	gemini
גראסער	גְראָסֶער	4	20	gemini
אייגנטלעך	אֵייגַנְטְלֶעךְ	7	20	gemini
קדישא	קַדִּישָׁא	5	20	gemini
שלעפן	שְׁלֶעפּן	4	20	gemini
מאנטאג	מָאנְטָאג	6	20	gemini
איבערזאגן	אִיבֶּערְזָאגְן	8	20	gemini
אזוינס	אַזוֹיְנְס	4	20	gemini
סדרים	סְדָרִים	2	20	gemini
עליו	עָלָיו	1	20	mechanical
הנני	הִנְנִי	1	20	mechanical
קאכן	קָאָכְן	5	20	gemini
הינטער	הִינְטֶער	3	20	gemini
טוען	טוּעֶן	5	20	gemini
אויער	אוֹיֶער	5	20	gemini
פארשידענע	פֿאַרשִׁידֶענֶע	9	20	gemini
מטבע	מַטְבֵּעַ	1	20	mechanical
מגלגל	מְגֻלְגָּל	7	20	gemini
נושא	נוֹשֵׂא	2	20	gemini
יבוא	יָבוֹא	1	20	mechanical
סוחר	סוֹחֵר	3	20	gemini
רמ"ח	רַמַ"ח	3	20	gemini
ברענט	בְּרֶענְט	3	20	gemini
שטותים	שְׁטוּתִים	2	20	gemini
הושיעה	הוֹשִׁיעָה	1	20	mechanical
חתנה	חֲתֻנָּה	6	20	gemini
שומע	שׁוֹמֵעַ	3	20	gemini
המלכים	הַמְּלָכִים	1	20	mechanical
אבא	אַבָּא	5	20	gemini
גלח	גַּלַח	6	20	gemini
אויסגיין	אוֹיסְגֵיין	5	20	gemini
חסדך	חַסְדְּךָ	3	20	gemini
בונים	בּוֹנִים	3	20	gemini
שאין	שֶׁאֵין	2	20	gemini
סוטה	סוֹטָה	2	20	gemini
אפשטעלן	אָפּשְׁטֶעלְן	8	20	gemini
שא	שָׁא	5	20	gemini
המועד	הַמּוֹעֵד	1	20	mechanical
זצ"ל	זַצַ"ל	5	20	gemini
שדי	שַׁדַּי	2	20	gemini
פאר'ן	פַֿאַר'ן	4	20	gemini
בעולם	בָּעוֹלָם	4	20	gemini
רייד	רֵייד	2	20	gemini
אייבערשטר	אֵייבֶּערְשְׁטֶר	5	20	gemini
פוס	פֿוּס	4	20	gemini
ענוה	עֲנָוָה	3	20	gemini
אלו	אֵלּוּ	3	20	gemini
יושב	יוֹשֵׁב	5	20	gemini
שנעלער	שְׁנֶעלֶער	4	20	gemini
מאמעס	מאַמֶעס	4	20	gemini
שיש	שֶׁיֵּשׁ	1	20	mechanical
דודל	דָוִדְל	3	20	gemini
הגאון	הַגָּאוֹן	5	20	gemini
ענו	עָנָו	3	20	gemini
אריינגעקוקט	אַרַיינְגֶעקוּקְט	4	20	gemini
וחס	וְחַס	4	20	gemini
בנות	בְּנוֹת	2	20	gemini
רחמיך	רַחֲמֶיךָ	1	20	mechanical
פלא'דיגע	פֶּלֶא'דִיגֶע	9	20	gemini
זינגער	זִינְגֶער	4	20	gemini
וואזן	וואַזְן	4	20	gemini
אוועקגעבן	אַוועֶקְגֶעבְּן	7	20	gemini
וועלוול	ווֶעלְווְל	5	20	gemini
מסעי	מַסְעֵי	1	20	mechanical
הדבר	הַדָּבָר	2	20	gemini
איינציגע	אֵיינְצִיגֶע	5	20	gemini
זופ	זוּפּ	2	20	gemini
ליסקער	לִיסְקֶער	2	20	gemini
איבריגע	אִיבְרִיגֶע	4	20	gemini
מאכנ	מַאַכְנ	4	20	gemini
שהכל	שֶׁהַכֹּל	3	20	gemini
דאוואנט	דאוואַנט	5	20	gemini
שלעכטס	שְׁלֶעכְטְס	2	20	gemini
תכלה	תִּכְלֶה	3	20	gemini
דאווענט	דַאַווֶענְט	12	20	gemini
גאוה	גַּאֲוָה	2	20	gemini
אראפגעפאלן	אַראָפּגֶעפַֿאַלְן	10	20	gemini
נעקסטן	נֶעקְסְטְן	3	20	gemini
איל	אַיִל	4	20	gemini
מוזן	מוּזְן	2	20	gemini
מפטיר	מַפְטִיר	1	20	mechanical
היכל	הֵיכָל	3	20	gemini
אברם	אַבְרָם	4	20	gemini
געט	גֶעט	2	20	gemini
ארון	אָרוֹן	4	20	gemini
ריזשינער	רִיזְשִׁינֶער	3	20	gemini
פארלאזן	פֿאַרלאָזְן	7	20	gemini
באס	בַּאַס	6	20	gemini
רש"שי	רַשְׁ"שִׁי	1	20	mechanical
פרות	פֵּרוֹת	2	20	gemini
פינפטע	פִֿינפֿטֶע	7	20	gemini
לעצטן	לֶעצְטְן	2	20	gemini
עמער	עֶמֶער	3	20	gemini
המשכן	הַמִּשְׁכָּן	1	20	mechanical
ווואס	וּוואָס	5	20	gemini
הפנים	הַפָּנִים	1	20	mechanical
דאפן	דאַפֿן	6	20	gemini
סמך	סַמֶךְ	6	20	gemini
בבל	בָּבֶל	3	20	gemini
פסק	פְּסַק	6	20	gemini
נחום	נַחוּם	3	20	gemini
שיחתי	שִׂיחָתִי	1	20	mechanical
נגעים	נְגָעִים	2	20	gemini
ממזר	מַמְזֵר	1	20	mechanical
פוסקים	פּוֹסְקִים	4	19	gemini
שבעים	שִׁבְעִים	1	19	mechanical
ארור	אָרוּר	1	19	mechanical
אוודאי	אַווַדַאי	6	19	gemini
אורות	אוֹרוֹת	2	19	gemini
צעבראכענע	צֶעבְרָאָכֶענֶע	10	19	gemini
ווארעמקייט	וואָרֶעמְקַייְט	9	19	gemini
שולדיק	שׁוּלְדִיק	4	19	gemini
וכן	וְכֵן	1	19	mechanical
אשה	אִשָּׁה	3	19	gemini
בקצור	בִּקְצוּר	4	19	gemini
פראבירט	פּראָבִֿירְט	8	19	gemini
מיינעך	מייַנֶעךְ	5	19	gemini
אורה	אוֹרָה	2	19	gemini
פרייד	פֿרֵייד	3	19	gemini
מחלל	מְחַלֵּל	3	19	gemini
ישמחו	יִשְׂמְחוּ	1	19	mechanical
אנגעשריבן	אָנְגֶעשְׁרִיבְן	6	19	gemini
מלאכה	מְלָאכָה	3	19	gemini
זישא	זִישֶׁא	3	19	gemini
ברירה	בְּרֵירָה	3	19	gemini
שפירא	שַׁפִירָא	7	19	gemini
אנגעפאקט	אָנְגֶעפַּאַקְט	6	19	gemini
נאפאלעאן	נַאַפּאָלֶעאָן	4	19	gemini
שחיטה	שְׁחִיטָה	3	19	gemini
חברותא	חַבְרוּתָא	5	19	gemini
הקדמה	הַקְדָמָה	3	19	gemini
בשורות	בְּשׂוֹרוֹת	5	19	gemini
