rank,word,freq,layer,gold_ipa,gold,source,chezky_hint,review_note
378,הויז,32,G,hoʊz | hɔjz,houz|hoyz,chezky-verified,hoze,
379,הלל,32,L,halˈɛl | hilˈɛl,halel|hilel,chezky-verified,hallel if its a prayer and hillel if a name,halel=prayer; hilel=name
380,טוישן,32,G,toʊʃn | tɔjʃn,toushn|toyshn,chezky-verified,tow-shin,
381,כדי,32,L,kədˈaj | kədˈej,keday|kedey,chezky-verified,ke-die,
382,כינוס,32,L,kˈinəs | kˈinus,kines|kinus,chezky-verified,kinnis,
383,לייג,32,G,lajɡ,layg,chezky-verified,lie-g,
384,מסביר,32,L,mazbˈir,mazbir,chezky-verified,mazbir,
385,סארט,32,G,sɔrt,sort,chezky-verified,sort,
386,קאסט,32,G,kɔst,kost,chezky-verified,cost,
387,שום,32,L,ʃim | ʃum,shim|shum,chezky-approved,,
388,אינמיטן,31,G,ˈinmitn,inmitn,chezky-approved,,
389,ביסט,31,G,bist,bist,chezky-approved,,
390,בעסטע,31,G,bˈɛstə,beste,chezky-approved,,
391,ברענגען,31,G,brˈejnɡən | brˈɛnɡən,breyngen|brengen,chezky-verified,brain-gen,
392,דאלער,31,E,dˈɔlər | dˈɔlar,doler|dolar,chezky-verified,doler,
393,חיים,31,N,xˈajim,khayim,chezky-verified,chayim,
394,טון,31,G,tin | tun | tɔn,tin|tun|ton,chezky-verified,teen,
395,יענע,31,G,jˈɛnə,yene,chezky-approved,,
396,נאכדעם,31,G,nuxdˈejm | nˈuxdəm,nukhdeym|nukhdem,chezky-verified,nuch-day-m,
397,ס'האט,31,G,səhˈut | ʃut,sehut|shut,chezky-verified,se-hot,paradigm uniform u
398,פונקט,31,G,pinkt | punkt,pinkt|punkt,chezky-verified,pinkt,
399,צוזאמען,31,G,ʦizˈamən | ʦuzˈamən,tsizamen|tsuzamen,chezky-verified,tzee-za-min,
400,אהיים,30,G,ahˈajm,ahaym,chezky-approved,,
401,גערעדט,30,G,ɡərˈɛt | ɡərˈɛdt,geret|geredt,claude-annotated,,
402,הלכה,30,L,halˈuxə | hˈalɔxə,halukhe|halokhe,claude-annotated,,
403,וואכן,30,G,vɔxn,vokhn,claude-annotated,,
404,זייערע,30,G,zˈajərə,zayere,claude-annotated,,
405,כאטש,30,G,xɔʧ,khotsh,claude-annotated,,
406,קויפן,30,G,kɔjfn,koyfn,claude-annotated,,
407,שמחה,30,L,sˈimxə,simkhe,claude-annotated,,
408,אמעריקא,29,E,amˈɛrika | amˈɛrikə,amerika|amerike,claude-annotated,,
409,אמעריקאנער,29,E,amərˈikanər,amerikaner,claude-annotated,,
410,באמת,29,L,bəˈɛməs,beemes,claude-annotated,,
411,בני,29,L,bnaj | bnej,bnay|bney,claude-annotated,,
412,הערליך,29,G,hˈɛrləx,herlekh,claude-annotated,,
413,זה,29,L,zɛ,ze,claude-annotated,,
414,חדשים,29,L,xadˈuʃim,khadushim,claude-annotated,,
415,טאטע,29,G,tˈatə,tate,claude-annotated,,
416,ישיבה,29,L,jəʃˈivə,yeshive,claude-annotated,,
417,מאנסי,29,E,mˈɔnsi,monsi,claude-annotated,,
418,משפחה,29,L,miʃpˈuxə,mishpukhe,claude-annotated,,
419,פרישע,29,G,frˈiʃə,frishe,claude-annotated,,
420,קאפ,29,G,kɔp,kop,claude-annotated,,
421,געגעבן,28,G,ɡəɡˈɛbn | ɡəɡˈejbn,gegebn|gegeybn,claude-annotated,,
422,געדאנק,28,G,ɡədˈank,gedank,claude-annotated,,
423,"זצ""ל",28,A,zaʦˈal,zatsal,claude-annotated,,
424,מוז,28,G,miz | muz,miz|muz,claude-annotated,,
425,מצוה,28,L,mˈiʦvə,mitsve,chezky-verified,,
426,נאכנישט,28,G,nˈuxniʃt,nukhnisht,claude-annotated,,
427,נומער,28,G,nˈimər | nˈumər,nimer|numer,claude-annotated,,
428,סאטמאר,28,E,sˈatmar,satmar,claude-annotated,,
429,סיבה,28,L,sˈibə,sibe,claude-annotated,,
430,ענגלאנד,28,E,ˈɛnɡland,england,claude-annotated,,
431,עפענען,28,G,ˈɛfənən,efenen,claude-annotated,,
432,פירט,28,G,firt,firt,claude-annotated,,
433,קרית,28,L,kˈirjas,kiryas,claude-annotated,,
434,רוב,28,L,rɔv,rov,chezky-verified,,
435,איינע,27,G,ˈajnə,ayne,claude-annotated,,
436,אינגאנצן,27,G,inɡˈanʦn,ingantsn,claude-annotated,,
437,אישי,27,X,iʃˈi,ishi,claude-annotated,,
438,אלטע,27,G,ˈaltə,alte,claude-annotated,,
439,געהעריג,27,G,ɡəhˈɛriɡ | ɡəhˈejriɡ,geherig|geheyrig,claude-annotated,,
440,ירושלים,27,L,jəruʃulˈajim | jəriʃəlˈajim,yerushulayim|yerishelayim,claude-annotated,,
441,לאזן,27,G,luzn | lɔzn,luzn|lozn,claude-annotated,,
442,לגבי,27,L,ləɡabˈaj | lˈɛɡabə,legabay|legabe,claude-annotated,,
443,מן,27,L,min,min,claude-annotated,,
444,פארשטייט,27,G,farʃtˈajt,farshtayt,claude-annotated,,
445,קיינמאל,27,G,kˈajnmul | kˈajnmɔl,kaynmul|kaynmol,claude-annotated,,
446,רוסלאנד,27,E,rˈusland,rusland,claude-annotated,,
447,רופן,27,G,rifn | rufn,rifn|rufn,claude-annotated,,
448,שפעטער,27,G,ʃpˈejtər | ʃpˈɛtər,shpeyter|shpeter,claude-annotated,,
449,אנהייבן,26,G,ˈunhajbn | ˈɔnhajbn,unhaybn|onhaybn,claude-annotated,,
450,"ב""ה",26,A,bˈurəx haʃˈɛm | bh,burekh hashem|bh,claude-annotated,,
451,געזען,26,G,ɡəzˈejn | ɡəzˈɛn,gezeyn|gezen,claude-annotated,,
452,חודש,26,L,xˈɔjdəʃ,khoydesh,claude-annotated,,
453,יארק,26,E,jɔrk,york,claude-annotated,,
454,כוס,26,L,kɔjs | kɔs,koys|kos,claude-annotated,,
455,מאך,26,G,max,makh,claude-annotated,,
456,מאנטאג,26,G,mˈɔntik | mˈɔntuɡ,montik|montug,claude-annotated,,
457,עסעט,26,G,ˈɛsət,eset,claude-annotated,,
458,פארשטיין,26,G,farʃtˈajn,farshtayn,claude-annotated,,
459,פשט,26,L,pʃat,pshat,claude-annotated,,
460,ראש,26,L,rɔjʃ | rɔʃ,roysh|rosh,claude-annotated,,
461,רופט,26,G,rift | ruft,rift|ruft,claude-annotated,,
462,שכח,26,L,ʃkˈɔjəx,shkoyekh,claude-annotated,,
463,שלום,26,L,ʃˈuləm | ʃˈɔləm,shulem|sholem,claude-annotated,,
464,אייגענע,25,G,ˈajɡənə,aygene,claude-annotated,,
465,אריבער,25,G,arˈibər,ariber,claude-annotated,,
466,געכאפט,25,G,ɡəxˈapt,gekhapt,claude-annotated,,
467,"ז""ל",25,A,zal,zal,claude-annotated,,
468,זען,25,G,zejn,zeyn,chezky-verified,,
469,טויט,25,G,tɔjt,toyt,claude-annotated,,
470,לויפן,25,G,lɔjfn,loyfn,claude-annotated,,
471,לייגט,25,G,lajɡt,laygt,claude-annotated,,
472,ליינען,25,G,lˈajnən,laynen,claude-annotated,,
473,לינק,25,E,link,link,claude-annotated,,
474,עני,25,X,ˈani | ˈuni,ani|uni,claude-annotated,,
475,ענק,25,G,ɛnk,enk,claude-annotated,,
476,פארהאן,25,G,farhˈan | farˈan,farhan|faran,claude-annotated,,
477,פראצענט,25,E,prɔʦˈɛnt,protsent,claude-annotated,,
478,פרייזן,25,G,praːzn | prajzn,praazn|prayzn,claude-annotated,,
479,קרעדיט,25,E,krˈɛdit,kredit,claude-annotated,,
480,שידוכים,25,L,ʃidˈixim | ʃˈiduxim,shidikhim|shidukhim,claude-annotated,,
481,אוי,24,G,ɔj,oy,claude-annotated,,
482,אידיש,24,G,jˈidiʃ | ˈidiʃ,yidish|idish,claude-annotated,,
483,איינמאל,24,G,ˈajnmul | ˈajnmɔl,aynmul|aynmol,claude-annotated,,
484,איינעם,24,G,ˈajnəm,aynem,claude-annotated,,
485,אפיס,24,E,ˈɔfis,ofis,claude-annotated,,
486,בעט,24,G,bɛt,bet,claude-annotated,,
487,ברכה,24,L,brˈuxə,brukhe,claude-annotated,,
488,געדארפט,24,G,ɡədˈarft,gedarft,claude-annotated,,
489,זוכט,24,G,zixt | zuxt,zikht|zukht,claude-annotated,,
490,יהושע,24,N,jəhˈɔjʃiə | jˈɛhɔjʃua,yehoyshie|yehoyshua,claude-annotated,,
491,מצב,24,L,mˈaʦəv,matsev,claude-annotated,,
492,נושא,24,L,nˈɔjsə,noyse,claude-annotated,,
493,ניצן,24,G,niʦn,nitsn,claude-annotated,,
494,פאון,24,E,foʊn | fɔn,foun|fon,claude-annotated,,
495,פלייש,24,G,flajʃ,flaysh,claude-annotated,,
496,ציבור,24,L,ʦˈibər | ʦˈibur,tsiber|tsibur,claude-annotated,,
497,אֶת,23,L,ɛs,es,claude-annotated,,
498,אהבת,23,L,ˈahavas,ahavas,claude-annotated,,
499,אייביג,23,G,ˈajbiɡ | ˈajbik,aybig|aybik,claude-annotated,,
500,אקאונט,23,E,akˈaunt,akaunt,claude-annotated,,
501,פאמיליע,5,E,fˈamiliə,familye,chezky-verified,f not p,whatsapp 2026-08-10
502,פראגעס,4,G,frˈaɡəs,frages,chezky-verified,f not p,whatsapp 2026-08-10
503,האף,4,G,huf,huf,chezky-verified,ho not ha,whatsapp 2026-08-10
504,גאס,138,G,ɡaːs,gaas,chezky-verified,gaas,sheet 2026-08-12
505,פריינד,23,G,fraːnd,fraand,chezky-verified,fraand,sheet 2026-08-12
506,פארגעסן,299,G,faːrɡˈɛsn,faargesen,chezky-verified,faargesen,sheet 2026-08-12
507,אפשאצן,2,G,ˈupʃaʦn,upshatzen,chezky-verified,upshatzen,sheet 2026-08-12
508,פראביר,1,G,prɔbˈir,probeer,chezky-verified,probeer,sheet 2026-08-12
509,פאדלאגע,2,G,pˈɔdlɔɡə,podloge,chezky-verified,podloge,sheet 2026-08-12
510,געקאכט,34,G,ɡəkˈɔxt,gekocht,chezky-verified,gekocht,sheet 2026-08-12
511,טויב,0,G,tɔjb | toʊb,toyb|toub,native-homograph,,"HOMOGRAPH: tɔjb=deaf (default וי ɔj); toʊb=dove/bird (û-class 54). Needs context; keep both — do not collapse to a global majority."
